base_model,correction,dataset,n,role,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains
B1_Q_proxy,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.11465190926871806,0.0977162197705868,0.044600658749756335,-0.21168314053744686,-0.2026689708141321,0.42302387052010737,0.3653423609105889,0.504692008282534
B1_Q_proxy,C1_domain,A4_A5_train_1m,512,base_fit,0.32433720245395187,0.2563273969771192,-3.122502256758253e-17,0.0008510526824949682,0.12037361883590253,0.7134128491511528,0.609582088132342,0.7834129806101091
B1_Q_proxy,C1_domain,A6_A7_test_1m,256,paired_calibration_member,0.2855905125324189,0.22689272826475637,-0.06166488731585995,-0.057665395386417906,-0.06458500228885328,0.6819917717927996,0.5922188539369171,0.7506564652331735
B1_Q_proxy,C1_domain,A8_A9_test_60m,256,paired_calibration_member,0.2280222002775531,0.18052107603640738,-0.06166488731585991,-0.08528325149061589,-0.018918087663080792,0.5259905256753327,0.4466846520940525,0.5448225156020283
B1_Q_proxy,C1_domain,A10_A11_test_1b,64,external_retrospective_evaluation,0.659979263062334,0.6580221864066063,-0.6580221864066063,-160.45523505344113,0.2822344322344322,0.7034818678701552,0.675299975567155,0.7444342033554043
B1_Q_proxy,C1_domain,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.2833041787686849,0.2660782265517939,-0.2660782265517939,-7.688114272115559,-0.16215437788018433,0.8288977457536675,0.771935415797186,0.9779211675814523
B1_Q_proxy,C1_domain,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.11465190926871811,0.09771621977058688,0.04460065874975646,-0.21168314053744797,-0.2026689708141321,0.9039659964961667,0.8556249261129069,1.105317719445891
B1_Q_proxy,C2_mixture_conditioned,A4_A5_train_1m,512,base_fit,0.32433720245395187,0.2563273969771192,-3.122502256758253e-17,0.0008510526824949682,0.12037361883590253,0.7134128491511528,0.609582088132342,0.7834129806101091
B1_Q_proxy,C2_mixture_conditioned,A6_A7_test_1m,256,paired_calibration_member,0.2855905125324189,0.22689272826475637,-0.06166488731585995,-0.057665395386417906,-0.06458500228885328,0.6819917717927996,0.5922188539369171,0.7506564652331735
B1_Q_proxy,C2_mixture_conditioned,A8_A9_test_60m,256,paired_calibration_member,0.25880271576145303,0.20485638839388665,-0.06166488731585994,-0.3980622056276648,-0.442177843900206,0.6132508429388245,0.5139514390055147,0.6544611911427044
B1_Q_proxy,C2_mixture_conditioned,A10_A11_test_1b,64,external_retrospective_evaluation,0.6296360550164979,0.6220533718475405,-0.6220533718475405,-145.9503854814587,-0.29688644688644683,0.750259685490069,0.6864895621830429,0.7836364247898711
B1_Q_proxy,C2_mixture_conditioned,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.2803921551946406,0.24778618023562263,-0.24774809834402814,-7.510425633356608,0.26272081413210446,0.9784742981018189,0.8938417365448508,1.09579286562544
B1_Q_proxy,C2_mixture_conditioned,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.16415212241687083,0.13626075532184376,0.06680347581292027,-1.483816382139791,0.2986271121351767,1.0616153456637945,0.9782552044787853,1.2451917497861862
M1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,0.27336405136464165,0.2163410332766149,2.203098814490545e-16,0.290226947355964,0.5456933036071915,0.49550750251629777,0.4189065418901408,0.5638397004550674
M1_Q_proxy,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,0.22866188107102273,0.18148599018291267,-0.05053245806677539,0.3219709720396401,0.6253590638590065,0.46760615008621514,0.4012539887677292,0.5326058845499271
M1_Q_proxy,C0_none,A8_A9_test_60m,256,external_retrospective_evaluation,1.521649118392684,1.5099032467550453,-1.5099032467550453,-47.330120085019274,0.5591339551384755,1.557532530074093,1.5128191805195397,1.6170769871920707
M1_Q_proxy,C0_none,A10_A11_test_1b,64,external_retrospective_evaluation,3.1835998318849366,3.1804223260284656,-3.1804223260284656,-3755.8901572068166,0.3740384615384615,3.1922411454202835,3.180422326028465,3.2433834531364294
M1_Q_proxy,C0_none,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,3.5789578391168986,3.5731090043568505,-3.5731090043568505,-1385.5410382988819,-0.44959677419354843,3.595042386975962,3.5732334923705054,3.612567823956937
M1_Q_proxy,C0_none,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,3.9618741417918413,3.9560220690699164,-3.9560220690699164,-1445.8644052469267,-0.5132008448540707,3.978145764803709,3.9560220690699164,3.997750584608922
M1_Q_proxy,C1_global,A4_A5_train_1m,512,base_fit,0.27336405136464165,0.2163410332766149,2.203098814490545e-16,0.290226947355964,0.5456933036071915,0.49550750251629777,0.4189065418901408,0.5638397004550674
M1_Q_proxy,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.22866188107102273,0.18148599018291267,-0.05053245806677539,0.3219709720396401,0.6253590638590065,0.46760615008621514,0.4012539887677292,0.5326058845499271
M1_Q_proxy,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.19535033724586923,0.15299197963597622,-0.05053245806677524,0.20344243338005707,0.5591339551384755,0.5297481966438126,0.4582609288530835,0.5811055818549907
M1_Q_proxy,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.7321931074610483,0.7182513689064474,-0.7182513689064474,-197.7205698640301,0.3740384615384615,0.8072253326465858,0.7745291579089065,0.9593409618664575
M1_Q_proxy,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.35504316941003755,0.3046074681910117,-0.2902143948608268,-12.645262256748774,-0.44959677419354843,0.5595058216373707,0.47371582019571873,0.6064344322821601
M1_Q_proxy,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.21622881352776255,0.17514706921259254,0.02046449044072364,-3.309765230152191,-0.5132008448540707,0.5112192285975844,0.4171252616027968,0.5764702257200804
M1_Q_proxy,C1_domain,A4_A5_train_1m,512,base_fit,0.27336405136464165,0.2163410332766149,2.203098814490545e-16,0.290226947355964,0.5456933036071915,0.49550750251629777,0.4189065418901408,0.5638397004550674
M1_Q_proxy,C1_domain,A6_A7_test_1m,256,paired_calibration_member,0.22866188107102273,0.18148599018291267,-0.05053245806677539,0.3219709720396401,0.6253590638590065,0.46760615008621514,0.4012539887677292,0.5326058845499271
M1_Q_proxy,C1_domain,A8_A9_test_60m,256,paired_calibration_member,0.1953503372458692,0.1529919796359762,-0.050532458066775365,0.2034424333800573,0.5591339551384755,0.3689258692781779,0.3029756265030496,0.3978171435683574
M1_Q_proxy,C1_domain,A10_A11_test_1b,64,external_retrospective_evaluation,0.7321931074610479,0.7182513689064471,-0.7182513689064471,-197.72056986402995,0.3740384615384615,0.7781684119038536,0.7476761391694848,0.8082787007818328
M1_Q_proxy,C1_domain,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.3550431694100374,0.30460746819101164,-0.2902143948608267,-12.645262256748763,-0.44959677419354843,0.8625523471971788,0.7838353018235378,0.9897197567719481
M1_Q_proxy,C1_domain,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.21622881352776252,0.17514706921259252,0.020464490440723727,-3.3097652301521903,-0.5132008448540707,0.941110975561693,0.8482897912310178,1.1193260447670887
M1_Q_proxy,C2_mixture_conditioned,A4_A5_train_1m,512,base_fit,0.27336405136464165,0.2163410332766149,2.203098814490545e-16,0.290226947355964,0.5456933036071915,0.49550750251629777,0.4189065418901408,0.5638397004550674
M1_Q_proxy,C2_mixture_conditioned,A6_A7_test_1m,256,paired_calibration_member,0.22866188107102273,0.18148599018291267,-0.05053245806677539,0.3219709720396401,0.6253590638590065,0.46760615008621514,0.4012539887677292,0.5326058845499271
M1_Q_proxy,C2_mixture_conditioned,A8_A9_test_60m,256,paired_calibration_member,0.19533274413882667,0.15382439722642136,-0.05053245806677535,0.20358590169130664,0.512619449530785,0.36872378041744197,0.31062193987370246,0.3918222165117507
M1_Q_proxy,C2_mixture_conditioned,A10_A11_test_1b,64,external_retrospective_evaluation,0.6897617174507823,0.6822825543473814,-0.6822825543473814,-175.35579093882427,0.2565476190476191,0.7234777826609918,0.7001577640218813,0.7653645930250834
M1_Q_proxy,C2_mixture_conditioned,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.32027528210353956,0.2728490610851432,-0.27188426665306087,-10.103666476483177,-0.22201420890937024,0.8462349544821508,0.7905688561361626,0.9923587167197444
M1_Q_proxy,C2_mixture_conditioned,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.18467286920375392,0.15111489400674455,0.042667307503887635,-2.1436390576149513,-0.1688748079877112,0.9403918095161259,0.8817836687910734,1.136629783374387
B1_Q_mapped,C0_none,A4_A5_train_1m,507,base_fit,0.31486684082539107,0.25025934727356236,-3.9416202057697864e-16,0.0074814754793286475,0.07261208424520049,0.7197538241387916,0.613599225337875,0.7873551274843003
B1_Q_mapped,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,0.2844030218250103,0.2261161804256535,-0.053676073424039024,-0.04888809638890179,-0.04845260724109235,0.6913698864905798,0.5984073969859375,0.7589905166219598
B1_Q_mapped,C0_none,A8_A9_test_60m,256,external_retrospective_evaluation,1.5289849896355232,1.5130468621123092,-1.5130468621123092,-47.79724244732428,-0.0202234854648939,1.6068211604573504,1.5169426971183548,1.66523772907471
B1_Q_mapped,C0_none,A10_A11_test_1b,64,external_retrospective_evaluation,3.1194954706059703,3.119078542790428,-3.119078542790428,-3606.117338820464,0.26199633699633695,3.125636270206776,3.119078542790428,3.1767248480893455
B1_Q_mapped,C0_none,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,3.5457841330857076,3.544317671468259,-3.544317671468259,-1359.956198850005,-0.0880397475231397,3.5572831377277985,3.5443176714682583,3.576110901823639
B1_Q_mapped,C0_none,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,3.928783487626614,3.9272307361813232,-3.9272307361813232,-1421.7961263537022,-0.12843530234359885,3.936651104290733,3.927230736181323,3.957770710610455
B1_Q_mapped,C1_global,A4_A5_train_1m,507,base_fit,0.31486684082539107,0.25025934727356236,-3.9416202057697864e-16,0.0074814754793286475,0.07261208424520049,0.7197538241387916,0.613599225337875,0.7873551274843003
B1_Q_mapped,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.2844030218250103,0.2261161804256535,-0.053676073424039024,-0.04888809638890179,-0.04845260724109235,0.6913698864905798,0.5984073969859375,0.7589905166219598
B1_Q_mapped,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.2266393885472234,0.17759990644176132,-0.05367607342403896,-0.07216003911910773,-0.0202234854648939,0.66484969478333,0.5646297165476292,0.6975578888122593
B1_Q_mapped,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.6588843685687219,0.65690758566841,-0.65690758566841,-159.91997637749756,0.26199633699633695,0.7497454745300421,0.7232679914631223,0.8913233871504284
B1_Q_mapped,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.280605380367383,0.2614230619722341,-0.2614230619722341,-7.523374119365203,-0.0880397475231397,0.4967949654782694,0.4328615776901788,0.542884373684345
B1_Q_mapped,C1_global,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.12093210314922238,0.10395654948345982,0.049255823329316384,-0.3480614642942952,-0.12843530234359885,0.40641337905563285,0.352123928202665,0.49318746809964575
B1_Q_mapped,C1_domain,A4_A5_train_1m,507,base_fit,0.31486684082539107,0.25025934727356236,-3.9416202057697864e-16,0.0074814754793286475,0.07261208424520049,0.7197538241387916,0.613599225337875,0.7873551274843003
B1_Q_mapped,C1_domain,A6_A7_test_1m,256,paired_calibration_member,0.2844030218250103,0.2261161804256535,-0.053676073424039024,-0.04888809638890179,-0.04845260724109235,0.6913698864905798,0.5984073969859375,0.7589905166219598
B1_Q_mapped,C1_domain,A8_A9_test_60m,256,paired_calibration_member,0.22663938854722346,0.17759990644176138,-0.053676073424039045,-0.07216003911910818,-0.020217026362606996,0.5343732900963694,0.4515561254885817,0.5530970888424598
B1_Q_mapped,C1_domain,A10_A11_test_1b,64,external_retrospective_evaluation,0.6588843685687215,0.6569075856684097,-0.6569075856684097,-159.9199763774973,0.26199633699633695,0.6968430575161813,0.6690685421532636,0.7391101982618249
B1_Q_mapped,C1_domain,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.2806053803673828,0.2614230619722339,-0.2614230619722339,-7.523374119365192,-0.0880397475231397,0.8338238852085922,0.7794270870806843,0.9853571190904719
B1_Q_mapped,C1_domain,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,0.1209321031492224,0.10395654948345982,0.049255823329316425,-0.34806146429429563,-0.12843530234359885,0.9084969592315384,0.8632278714222447,1.1143789149045062
B1_Q_mapped,C2_mixture_conditioned,A4_A5_train_1m,507,base_fit,0.31486684082539107,0.25025934727356236,-3.9416202057697864e-16,0.0074814754793286475,0.07261208424520049,0.7197538241387916,0.613599225337875,0.7873551274843003
B1_Q_mapped,C2_mixture_conditioned,A6_A7_test_1m,256,paired_calibration_member,0.2844030218250103,0.2261161804256535,-0.053676073424039024,-0.04888809638890179,-0.04845260724109235,0.6913698864905798,0.5984073969859375,0.7589905166219598
B1_Q_mapped,C2_mixture_conditioned,A8_A9_test_60m,256,paired_calibration_member,0.25761132184117486,0.2031455305996171,-0.05367607342403902,-0.3852199220540631,-0.36965695811398486,0.6251948206268552,0.523003939781035,0.6660368621604525
B1_Q_mapped,C2_mixture_conditioned,A10_A11_test_1b,64,external_retrospective_evaluation,0.6283577085360809,0.6209387711093439,-0.6209387711093439,-145.35428617097733,-0.2537087912087912,0.7394334417010645,0.6779501711287478,0.7768449941226377
B1_Q_mapped,C2_mixture_conditioned,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.27726280111842694,0.2430929337644682,-0.2430929337644682,-7.321522207167462,0.23895929339477726,0.9858203077485713,0.8943217360206434,1.1058809637659799
