base_model,correction,dataset,role,n,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
ilr_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_uspto_backgrounds_val_loss,0.27869851966803005,0.22932776943015376,-0.22653988911516432,-2.936936136371039,0.9420787545787543
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_arxiv_val_loss,0.6379206623778699,0.5430267739839579,-0.009832459270438096,-3.352727610979474,0.8884408602150538
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_freelaw_val_loss,0.5100194100999816,0.43006333086785126,-0.15858180440021438,-1.741048053522682,0.8408698156682027
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_central_val_loss,0.5970917277820972,0.5105272480412082,-0.1348120241162291,-4.707172353828087,0.8768721198156683
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_wikipedia_en_val_loss,0.6440149413874865,0.5603101538885908,-0.5603101538885908,-6.812425290533222,0.5352471018991318
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_dm_mathematics_val_loss,0.9512694642563013,0.6610206336655667,0.5555827271740458,-4.047316665449454,0.9054339477726574
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_github_val_loss,0.6926976162738053,0.5521788937107335,-0.28467309723381656,-5.451948384167108,0.8197964669738864
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_stackexchange_val_loss,0.5552643263191024,0.4651300009028251,-0.22882435528504236,-7.6245629598039475,0.7109580328616903
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_gutenberg_pg_19_val_loss,0.384718386362762,0.30187641341619414,-0.26932711480308635,-2.236303633782128,0.6228878648233488
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pile_cc_val_loss,0.5697591435602207,0.5163952611944532,-0.5163952611944532,-6.343787148828898,0.39741743471582186
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_ubuntu_irc_val_loss,1.33023600396335,1.1887595111312386,-1.1777301783674472,-17.429699737110383,0.8911770353302612
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_hackernews_val_loss,0.4044336575111434,0.34019902934070184,-0.3154152688495697,-4.5496895141785085,0.3518625192012289
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_abstracts_val_loss,0.4835495296565885,0.39981323880670105,-0.28978746532932664,-4.066066802470753,0.6021025345622121
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_uspto_backgrounds_val_loss,0.36024964140558763,0.30113449536147063,-0.1254285704029048,-1.5850964009251145,0.6794196359412534
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_arxiv_val_loss,0.7688271998680215,0.6408262569195703,0.32033726852195477,-9.324250468866849,0.8505664362519203
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_freelaw_val_loss,0.5591905526263992,0.47916319431938276,0.16491649482074988,-3.6183182652004584,0.7892665130568356
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_central_val_loss,0.6613403281419683,0.5696272056763951,0.190979925898386,-9.490139995124848,0.8033794162826422
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_wikipedia_en_val_loss,0.4394892650225168,0.361862426550603,-0.28028010863588043,-3.4516029946688684,0.45967741935483875
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_dm_mathematics_val_loss,1.2835332152546206,0.983965974192997,0.9573889629029464,-14.775953946018618,0.9070660522273426
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_github_val_loss,0.6873143491772983,0.5869633010957713,0.026750598812544574,-9.04314136365009,0.7439036098310292
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_stackexchange_val_loss,0.5538904151997909,0.484473065799676,0.089500928062906,-11.741802688327937,0.5934931055187542
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_gutenberg_pg_19_val_loss,0.2977844089217677,0.2540867608209598,0.04065213679883022,-1.3975738354021363,0.5579397081413211
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pile_cc_val_loss,0.3390753082404759,0.26643509136518045,-0.23222870800523507,-2.0079826008845774,0.35157450076804914
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_ubuntu_irc_val_loss,1.1805628392306453,1.0251096004282068,-0.9651906093052135,-20.189069891890632,0.8441921586648449
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_hackernews_val_loss,0.2669522454725926,0.22076203476564327,-0.009118556930192818,-1.7395252282660891,0.26334485407066055
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_abstracts_val_loss,0.41037297581009813,0.34586085254290005,0.01746162754243118,-3.555495645854153,0.5155529953917051
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_uspto_backgrounds_val_loss,0.41578546795166077,0.355235929118409,0.20212052246885312,-3.406791972647201,0.620190576949402
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_arxiv_val_loss,0.47678840512421244,0.3526840741771512,2.0643209364124004e-16,0.7788820657066098,0.9305133553060734
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_freelaw_val_loss,0.291384658288947,0.23000735457670968,3.469446951953614e-18,0.86174624780587,0.92661609074055
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_pubmed_central_val_loss,0.36428434526357817,0.2864895395823426,3.642919299551295e-17,0.817290646260542,0.9227494928817476
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_wikipedia_en_val_loss,0.24731145320260273,0.19476465651066915,9.71445146547012e-17,0.7813348101680575,0.8949404225460913
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_dm_mathematics_val_loss,0.6568805398174212,0.5370585252625051,-3.642919299551295e-17,0.8164741158032474,0.8695316702143486
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_github_val_loss,0.5038332022734677,0.3698255377668557,4.0245584642661925e-16,0.7722412106752679,0.9320627839576109
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_stackexchange_val_loss,0.3821781292951876,0.29130291191553004,2.8449465006019636e-16,0.7571763100803253,0.9131154083839736
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_gutenberg_pg_19_val_loss,0.24495810937455992,0.18938862531848422,2.0816681711721685e-17,0.6830269892520942,0.8597027671919525
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_pile_cc_val_loss,0.17950361241276466,0.1381810162156923,3.9898639947466563e-17,0.6861716887336002,0.8464178246701227
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_ubuntu_irc_val_loss,0.4598958983301095,0.3634149612537224,1.249000902703301e-16,0.799719261639475,0.8546355185909981
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_hackernews_val_loss,0.2016739881203034,0.1553663670510689,7.45931094670027e-17,0.652958908722651,0.8446007105377599
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,metric/the_pile_pubmed_abstracts_val_loss,0.3222320988513595,0.2430752401088241,-1.231653667943533e-16,0.6962198769231851,0.8689560659639968
