comparison,reference_base_model,reference_correction,candidate_base_model,candidate_correction,dataset,role,n,rmse_reference,rmse_candidate,rmse_difference,rmse_ci95_low,rmse_ci95_high,rmse_reduction_pct,mae_reference,mae_candidate,mae_difference,mae_ci95_low,mae_ci95_high,mae_reduction_pct
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.092289625937955,1.0915165012125394,-0.0007731247254156859,-0.0027819326939222287,0.0011377153197566544,0.07078019483630996,0.904379146836182,0.9038354829607766,-0.0005436638754053869,-0.0026815951704102945,0.001477514223793691,0.06011459655027466
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.066296219724759,1.0648827616645253,-0.00141345806023363,-0.0030761068124994405,0.00016274102566461775,0.13255772965213017,0.8609183786443109,0.859631789293868,-0.0012865893504429016,-0.0033600675819976584,0.0006215125935989295,0.14944382445045432
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,3.996970312628592,3.9939469786150856,-0.003023334013506407,-0.007094489455301278,0.0012034622148535867,0.0756406422122791,3.9401689580783215,3.936586097967704,-0.0035828601106175917,-0.007750792091425973,0.0006203489313358234,0.09093163640284617
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.6747066047392325,0.6777160498333872,0.0030094450941546835,-0.0019341647251604477,0.008504353287309746,-0.4460375921942849,0.5041015355589489,0.5057208995073612,0.0016193639484123334,-0.003951664909949244,0.00740609927385913,-0.3212376543580212
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.1909146446912464,1.1872525021283302,-0.003662142562916193,-0.010132496571377148,0.0032013387398190742,0.3075067200861932,0.9145735562261564,0.9127822723803775,-0.0017912838457789793,-0.0062515514694725825,0.0029688400034932473,0.1958600085891866
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.198526437388368,1.191223073955134,-0.007303363433234011,-0.012828129451038516,-0.0018127234978510339,0.6093618968596389,0.9288943601678761,0.9267824381713486,-0.0021119219965274327,-0.006065942806547345,0.0019006132697463646,0.2273586843767414
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,4.01073396965632,4.0080163184568285,-0.0027176511994913,-0.007798938601409145,0.002152660545581807,0.0677594480225318,3.9379860853195874,3.9351984652295244,-0.0027876200900629478,-0.007886783274376353,0.0021918374759396933,0.070787961909132
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.7614032136111474,0.7616512029799413,0.00024798936879388833,-0.0017261251969959868,0.0021654354655384327,-0.032570044932925354,0.5670900246705477,0.5670673731431206,-2.265152742708665e-05,-0.0020185280303702314,0.001882121017236157,0.003994344185519064
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.2342704721094244,1.2343165267282947,4.605461887030593e-05,-0.0011775468864693827,0.001201369675139679,-0.0037313230698613805,0.9731278478354075,0.9725125596249411,-0.0006152882104664137,-0.0026407643256136175,0.0011955286467105167,0.06322789054234136
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,1.2199020226013644,1.2192911605788277,-0.0006108620225366845,-0.00186123502633882,0.0005923074318063103,0.05007467904955676,0.9480981509516749,0.9475003608896918,-0.0005977900619831278,-0.0018204421706983277,0.0005752806971614612,0.06305149539455197
