comparison,reference_base_model,reference_correction,candidate_base_model,candidate_correction,dataset,role,n,rmse_reference,rmse_candidate,rmse_difference,rmse_ci95_low,rmse_ci95_high,rmse_reduction_pct,mae_reference,mae_candidate,mae_difference,mae_ci95_low,mae_ci95_high,mae_reduction_pct
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,1.6000657161060257,0.3706331333700989,-1.2294325827359267,-1.2555013307145875,-1.2017741090142942,76.83638055366349,1.506611890978254,0.2498863049333103,-1.2567255860449438,-1.2813062545765306,-1.2307146137937102,83.4140227865149
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,1.6000657161060257,0.3023502538752488,-1.297715462230777,-1.3216650978276734,-1.2720718893050678,81.10388524472242,1.506611890978254,0.21257356853597967,-1.2940383224422742,-1.3187490159974578,-1.2683473463840187,85.89062187754577
scale_correction,qproxy_only,C0_none,qproxy_only,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,1.670257966190739,0.6928309348419432,-0.9774270313487958,-1.0051915899430601,-0.9470349121628973,58.5195251951384,1.523684590055619,0.55545386067765,-0.9682307293779691,-1.0032903972174434,-0.9313178871358997,63.545351557478554
scale_correction,qproxy_only,C0_none,qproxy_only,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,1.670257966190739,0.5448225156020284,-1.1254354505887108,-1.1579202499815828,-1.0894434376522062,67.38093596137287,1.523684590055619,0.44668465209405256,-1.0769999379615665,-1.1111449356391891,-1.0405968639296093,70.68391614581157
scale_correction,qproxy_only,C0_none,qproxy_only,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,1.670257966190739,0.6544611911427043,-1.0157967750480348,-1.050282072030632,-0.9794833854959921,60.81675978260436,1.523684590055619,0.5139514390055145,-1.0097331510501046,-1.0457734994524,-0.9713976738310885,66.26917129963535
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.6125830561174754,1.6120958764251363,-0.0004871796923391347,-0.0018207679739583205,0.0008024862384901849,0.030211137993232398,1.518786891829006,1.5191594897326415,0.0003725979036355298,-0.0020571740831571263,0.0028148690233931067,-0.02453259938178865
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5518453015470415,0.5496227271115075,-0.002222574435533975,-0.005789205240103073,0.0014178010366170386,0.40275316819826434,0.41933505889313905,0.41725723550786764,-0.0020778233852714045,-0.005229172937951669,0.0010976442738792362,0.49550433268230626
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.3733642529034672,0.370607376472966,-0.0027568764305012095,-0.005398126071336514,-1.6906960328544762e-06,0.7383878903945301,0.27147590849078396,0.26893622547593843,-0.0025396830148455285,-0.005062410751349349,1.1181557926503781e-05,0.9355095370946132
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3483489047715735,0.3386754992678898,-0.009673405503683674,-0.013648345100414157,-0.005810460148675019,2.776930075329767,0.2627179322157879,0.2545945772062755,-0.00812335500951239,-0.011558184287722767,-0.004647048544482805,3.09204436141806
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5993338679597553,1.6000657161060257,0.0007318481462703641,-0.002604242170471677,0.004050659360597746,-0.045759560335201996,1.5060437806723044,1.506611890978254,0.0005681103059496095,-0.002918004820390946,0.0040133798672855586,-0.037722031274283585
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5493255284665994,0.5505565654316951,0.0012310369650956332,-0.0001767323097837614,0.002623272916987954,-0.22409971889199826,0.41088849328838856,0.41162647200981806,0.0007379787214294997,-0.0007701464885495084,0.0022039984653505493,-0.1796055945795342
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.368786068839705,0.3706331333700989,0.0018470645303939048,-0.0002814571316028136,0.003930738970829209,-0.5008498656701542,0.24912519465105137,0.2498863049333103,0.00076111028225892,-0.0013344848111797258,0.00283240223751884,-0.3055131711286785
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3017246800400876,0.3023502538752488,0.0006255738351611528,-0.0017969715115189549,0.0029243974501927507,-0.20733266999505578,0.21276018518910972,0.21257356853597967,-0.0001866166531300506,-0.002395368185481556,0.0019903998703460404,0.08771220656918412
quadratic_vs_linear,ilr_ridge,C0_none,quadratic_ridge,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.6125830561174754,1.5993338679597553,-0.013249188157720138,-0.04023211795374586,0.015277776186471281,0.8216127601898197,1.518786891829006,1.5060437806723044,-0.01274311115670157,-0.03989460489265498,0.015261953071640357,0.839032205588476
quadratic_vs_linear,ilr_ridge,C1_global,quadratic_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5518453015470415,0.5493255284665994,-0.002519773080442045,-0.0195808448173935,0.014644730136710813,0.45660859544842014,0.41933505889313905,0.41088849328838856,-0.008446565604750489,-0.019802837329718194,0.0031775416190619036,2.014276036696222
quadratic_vs_linear,ilr_ridge,C1_domain,quadratic_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.3733642529034672,0.368786068839705,-0.004578184063762203,-0.02453782372835227,0.015354873482515427,1.2261977487560616,0.27147590849078396,0.24912519465105137,-0.022350713839732583,-0.0351327002667941,-0.008920079421419192,8.233037680576118
quadratic_vs_linear,ilr_ridge,C2_mixture_conditioned,quadratic_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3483489047715735,0.3017246800400876,-0.046624224731485864,-0.06594376746864954,-0.02661771059265633,13.384346582648009,0.2627179322157879,0.21276018518910972,-0.049957747026678156,-0.06360627310655895,-0.035593001812018396,19.015735471625327
scale_correction,ilr_ridge,C0_none,ilr_ridge,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,0.807666257133636,-2.21611590848012,-2.232294683041245,-2.2002003135432293,73.28953565774805,2.955363351632918,0.5782282384672702,-2.377135113165648,-2.394458808466699,-2.3590418144154395,80.4346143039304
scale_correction,ilr_ridge,C0_none,ilr_ridge,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,0.7587869972583833,-2.2649951683553726,-2.2808521198973963,-2.249286728451782,74.90602974356894,2.955363351632918,0.6446125019672881,-2.31075084966563,-2.3290271168841388,-2.2919431444580805,78.18838412504769
scale_correction,ilr_ridge,C0_none,ilr_ridge,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,0.714715153805187,-2.309067011808569,-2.329044548117719,-2.2876294637754127,76.36353696596008,2.955363351632918,0.6179547530302643,-2.3374085986026536,-2.3584195722801002,-2.315464244319715,79.09039669559318
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,2.696349672853678,0.6575132019975863,-2.0388364708560918,-2.0837517230183535,-1.9935711808394627,75.61469090536362,2.6202882452073935,0.4255761716705696,-2.1947120735368237,-2.2352857649253246,-2.1512910347589553,83.75842152293875
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,2.696349672853678,0.6579227038459458,-2.0384269690077326,-2.079305794868765,-1.9960834456481158,75.59950363746279,2.6202882452073935,0.5469209339063026,-2.073367311301091,-2.11314475763913,-2.0319019193645276,79.12745153489729
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,2.696349672853678,0.6252354554252723,-2.071114217428406,-2.1139018077902563,-2.026291035236089,76.81178143472931,2.6202882452073935,0.5207067682245289,-2.0995814769828645,-2.139255004354058,-2.0578094236603235,80.12788214514485
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,3.0219151267723325,0.8093552340312438,-2.2125598927410888,-2.2285570379944986,-2.196506783086799,73.21714210763737,2.9525165420786634,0.5763014325680531,-2.3762151095106105,-2.3935072585539743,-2.358038134218573,80.4810091881037
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,3.0219151267723325,0.7564011149998928,-2.2655140117724395,-2.281297355993217,-2.249578678495148,74.96947851716156,2.9525165420786634,0.6420792579024038,-2.3104372841762597,-2.3288622736569753,-2.2914418084286337,78.25315290357831
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,3.0219151267723325,0.7102708879139414,-2.311644238858391,-2.3317648668806394,-2.290331600436367,76.49600143890963,2.9525165420786634,0.6135077241563287,-2.339008817922335,-2.360042968318295,-2.316773906251799,79.22085395923303
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,2.707895630080456,0.6609114646985358,-2.0469841653819203,-2.0925362154384506,-2.000494105948107,75.59317067626795,2.632172673276144,0.4296121669606182,-2.2025605063155256,-2.2440704964335847,-2.158137079835599,83.67842006254476
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,2.707895630080456,0.6618401199524158,-2.04605551012804,-2.0874024467291497,-2.0028661498620237,75.55887632446338,2.632172673276144,0.551157210140296,-2.0810154631358477,-2.1214654895486857,-2.0384595223458515,79.06075024119538
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,2.707895630080456,0.6268540540774807,-2.081041576002975,-2.12395612049973,-2.0362824895836975,76.85087833097703,2.632172673276144,0.52410054582758,-2.1080721274485636,-2.148479876548885,-2.0656091950158544,80.08867156973952
scale_correction,qproxy_only,C0_none,qproxy_only,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,3.177544870285514,0.8911674071452987,-2.2863774631402154,-2.2968680426095727,-2.2754515604198486,71.95421485691801,3.120193143528625,0.7245718679018475,-2.3956212756267776,-2.4064660731398986,-2.3841143717740425,76.77798025405474
scale_correction,qproxy_only,C0_none,qproxy_only,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,3.177544870285514,0.7444342033554043,-2.4331106669301095,-2.4403870745333016,-2.4254317094477305,76.57203174951502,3.120193143528625,0.6752999755671552,-2.44489316796147,-2.450610336667135,-2.4382602673356675,78.35710981649493
scale_correction,qproxy_only,C0_none,qproxy_only,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,3.177544870285514,0.7836364247898711,-2.3939084454956427,-2.418226412534479,-2.364667460644739,75.33830498766619,3.120193143528625,0.6864895621830427,-2.4337035813455823,-2.448843385048326,-2.4172088862548526,77.99849142009549
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,3.0219151267723325,-0.001867038841423252,-0.0037654020928934774,0.00018223848727430978,0.061745150251069345,2.955363351632918,2.9525165420786634,-0.002846809554254648,-0.005459610584830998,-0.00012036237240588153,0.09632688828876858
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.807666257133636,0.8093552340312438,0.001688976897607719,0.00046102090054915004,0.0029492226471754777,-0.20911817012163006,0.5782282384672702,0.5763014325680531,-0.001926805899217121,-0.004149815714722749,0.0005264834197973232,0.3332258390431731
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.7587869972583833,0.7564011149998928,-0.002385882258490457,-0.005416673107238343,0.0009444671979361036,0.31443373003372815,0.6446125019672881,0.6420792579024038,-0.00253324406488431,-0.0056193186832702606,0.0008330021500750882,0.3929871135221736
