axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,0,6,15,0.001,0.0018762014820241585,2.3855781852659437,2.3858000151730048,2.38523977222687,2.385461602133931,0.0,-0.0,True,False
Q_A_topsis_0_1,0,6,16,0.001,0.0018788924986942713,2.3855781852659437,2.3858000151730048,2.3854495335266876,2.3856713634337487,0.0,-0.0,True,False
Q_A_topsis_0_1,0,7,8,0.0004924031365207104,0.0018521000462649688,2.3855781852659437,2.3834158774612324,2.3854367238027674,2.3832744159980566,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,7,9,0.00018616760038207893,0.001878234988435371,2.3855781852659437,2.384760660710485,2.3847239190661247,2.383906394510666,0.0,-0.0,True,False
Q_A_topsis_0_1,0,7,10,0.00048703283313126193,0.0018532018561667,2.3855781852659437,2.383439460269853,2.385419468613389,2.383280743617299,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,0,7,11,0.0004940614411185312,0.0018517598166180637,2.3855781852659437,2.383408595287931,2.3855129876725263,2.3833433976945138,0.0,-0.0,True,False
Q_A_topsis_0_1,0,7,12,0.0004858792445405099,0.0018305123441610363,2.3855781852659437,2.383444526065394,2.384451778714785,2.382318119514235,0.0,-0.0,True,False
Q_A_topsis_0_1,0,7,13,0.0004752983804234408,0.0018344613184716166,2.3855781852659437,2.3834909901988732,2.3849628168441024,2.382875621777031,-8.881784197001252e-16,8.881784197001252e-16,True,False
Q_A_topsis_0_1,0,7,14,0.000462231379098248,0.0018456190842860182,2.3855781852659437,2.3835483717971084,2.3846439208629504,2.382614107394115,0.0,-0.0,True,False
Q_A_topsis_0_1,0,7,15,0.0004940086273554212,0.0018517706522679185,2.3855781852659437,2.3834088272109297,2.3854110063050316,2.3832416482500176,0.0,-0.0,True,False
