pair,role,scale_low,scale_high,log10_scale_gap,index,target,loss_low,loss_high,delta_low_minus_high
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,7,metric/the_pile_pubmed_abstracts_val_loss,6.580706596374512,5.256828308105469,1.323878288269043
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,7,metric/the_pile_uspto_backgrounds_val_loss,6.433174133300781,5.011646747589111,1.42152738571167
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_arxiv_val_loss,5.031049728393555,3.394014835357666,1.6370348930358887
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_freelaw_val_loss,6.165006160736084,4.807981014251709,1.357025146484375
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_pubmed_central_val_loss,5.595306396484375,3.829377412796021,1.765928983688354
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_wikipedia_en_val_loss,6.3928656578063965,4.9715776443481445,1.421288013458252
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_dm_mathematics_val_loss,4.956005573272705,2.965331077575684,1.990674495697021
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_github_val_loss,4.905417442321777,2.4451146125793457,2.4603028297424316
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_stackexchange_val_loss,3.9965648651123047,2.6288201808929443,1.3677446842193604
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_gutenberg_pg_19_val_loss,5.04524564743042,4.1398234367370605,0.9054222106933594
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_pile_cc_val_loss,5.949980735778809,4.907922744750977,1.042057991027832
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_ubuntu_irc_val_loss,7.211711406707764,4.9736762046813965,2.238035202026367
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_hackernews_val_loss,5.451015472412109,4.460690975189209,0.9903244972229004
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,8,metric/the_pile_pubmed_abstracts_val_loss,6.330079078674316,4.986948013305664,1.3431310653686523
