pair,role,scale_low,scale_high,log10_scale_gap,target,mean_delta_low_minus_high,mean_loss_drop_per_log10_scale,delta_cv,max_absolute_corr_with_ilr,median_delta_low_minus_high,sd_delta,min_delta,max_delta,positive_fraction,mean_absolute_delta,shared_prediction_mae_lower_bound,shared_prediction_rmse_lower_bound
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_hackernews_val_loss,0.9763440135866404,0.5490781582140383,0.04822173140725259,0.6099989838039163,0.9748220443725586,0.047080998784253945,0.8575735092163086,1.1103806495666504,1.0,0.9763440135866404,0.4881720067933202,0.4887370444930928
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_pubmed_abstracts_val_loss,1.3422633856534958,0.7548645737329132,0.03399356741221205,0.360496908189052,1.3404390811920166,0.04562832088515609,1.2445611953735352,1.4630508422851562,1.0,1.3422633856534958,0.6711316928267479,0.671517834376038
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,metric/the_pile_uspto_backgrounds_val_loss,1.3764131953939795,0.774069807108373,0.0646630108703886,0.8289384455955989,1.3877112865447998,0.08900302141590721,1.1716196537017822,1.5271394252777095,1.0,1.3764131953939795,0.6882065976969898,0.6896382890270653
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_arxiv_val_loss,0.36342222222222226,0.430035575773068,0.20987658171890416,0.6770298370650948,0.35640000000000005,0.07627381372068798,0.248,0.5706,1.0,0.36342222222222226,0.18171111111111113,0.1856078270876271
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_freelaw_val_loss,0.37009365079365086,0.43792984159258885,0.14996505737237054,0.7528593607200388,0.37640000000000007,0.05550111557441992,0.24880000000000002,0.45489999999999986,1.0,0.37009365079365086,0.18504682539682543,0.1870833967546822
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_pubmed_central_val_loss,0.36779999999999996,0.4352157768509262,0.15435303303576756,0.8261936904989583,0.37339999999999995,0.0567710455505553,0.25450000000000006,0.46499999999999986,1.0,0.36779999999999996,0.18389999999999998,0.186043431522584
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_wikipedia_en_val_loss,0.4135619047619048,0.48936559449945943,0.07778500835187119,0.8243322629115356,0.41579999999999995,0.03216891621592052,0.3362999999999998,0.47520000000000007,1.0,0.4135619047619048,0.2067809523809524,0.20739567390752284
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_dm_mathematics_val_loss,0.2917857142857143,0.3452684782948874,0.3562032981013977,0.7896160854477109,0.3287,0.10393503376744356,0.12940000000000002,0.41200000000000014,1.0,0.2917857142857143,0.14589285714285716,0.1547335824816935
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_github_val_loss,0.38216825396825393,0.45221765508035816,0.1774310836876249,0.7092415206571346,0.37749999999999995,0.06780852745259475,0.2628999999999999,0.5510999999999999,1.0,0.38216825396825393,0.19108412698412697,0.19402163968657377
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_stackexchange_val_loss,0.3752666666666667,0.4440510436639232,0.1311653639806178,0.734317511185915,0.3658999999999999,0.04922198892312651,0.29810000000000003,0.4832000000000001,1.0,0.3752666666666667,0.18763333333333335,0.18921510120444804
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_gutenberg_pg_19_val_loss,0.3836126984126983,0.45392685848168185,0.08059720110244024,0.8139253208973485,0.3829,0.030918109799418003,0.3232999999999999,0.4610000000000001,1.0,0.3836126984126983,0.19180634920634915,0.19241846222016898
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_pile_cc_val_loss,0.40942539682539686,0.4844708867369871,0.05276315524573077,0.7933734828535791,0.41459999999999986,0.02160257577424334,0.3549,0.4477000000000002,1.0,0.40942539682539686,0.20471269841269843,0.2049929385156226
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_ubuntu_irc_val_loss,0.48105238095238095,0.569226714742192,0.14156783944475926,0.9109545674472229,0.508,0.06810154623118583,0.35029999999999983,0.5776999999999997,1.0,0.48105238095238095,0.24052619047619048,0.24288659782862024
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_hackernews_val_loss,0.38729523809523814,0.45828438803230975,0.057801668146201975,0.7753755390878702,0.3911,0.022386310826985237,0.34189999999999987,0.4467000000000001,1.0,0.38729523809523814,0.19364761904761907,0.1939657145288786
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_pubmed_abstracts_val_loss,0.3863428571428571,0.4571574407347335,0.08366404312474003,0.7953594058470891,0.3832,0.03232300546093527,0.3045,0.45199999999999996,1.0,0.3863428571428571,0.19317142857142855,0.1938356237837076
A12_A14_10b_vs_70b,extrapolation,10B,70B,0.8450980400142569,metric/the_pile_uspto_backgrounds_val_loss,0.3660428571428571,0.4331365590868983,0.09404572174613761,0.9187161084082137,0.37339999999999995,0.03442476469001834,0.27959999999999996,0.4425000000000001,1.0,0.3660428571428571,0.18302142857142856,0.1838162310181402
