mapping_id,grid,N_params_B,D_tokens_B,anchor,Q_A,mapped_q,L_m1_frozen,epsilon_q,q_in_B6_fitted_range,epsilon_q_valid
M2_minmax_observed,cell_05,0.16,10.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,3.208753739193072,-0.07173298327225379,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p01,37.836087196915436,0.3280531384572941,3.069029226269126,-0.03872117180718709,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p05,42.88931989600419,0.39481125518142657,3.044846269720014,-0.04697096399349858,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p25,49.31734182463843,0.4797316742023895,3.014084065750082,-0.057656510130364505,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_mean,54.23226387916365,0.5446625728457819,2.9905630142639135,-0.0659750752670301,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p50,53.29782328546341,0.5323177041368349,2.9950349112892085,-0.06438346418090973,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p75,58.24080169435776,0.597619254497922,2.971379592169025,-0.0728570804693848,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p95,68.9340289627691,0.7388871827037635,2.9202056475279234,-0.09165792379020744,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_p99,75.06870741496967,0.8199322492115612,2.890847280065627,-0.10274439476733667,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_min,20.573683268650814,0.1,3.1516408907202256,-0.011493931179534738,True,True
M2_minmax_observed,cell_06,0.16,50.0,ALL_max,88.69887391735354,1.0,2.825618199215313,-0.12820112607784595,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.9460590962824407,-0.08207796586411338,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.981947632830505,-0.06905486840988094,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.9342367457836707,-0.08643777254904567,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.9422115505647315,-0.08349300498425716,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::github::mean,51.68987795824728,0.5110751831146633,3.0027299600425397,-0.06165578544918801,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.9563188377375713,-0.07832267397125534,True,True
M2_minmax_observed,cell_06,0.16,50.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.957692155922453,-0.07782198625283615,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p01,37.836087196915436,0.3280531384572941,2.952709735987083,-0.040246559458008695,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p05,42.88931989600419,0.39481125518142657,2.928526779437971,-0.048836625126646396,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p25,49.31734182463843,0.4797316742023895,2.8977645754680386,-0.05997090651942321,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_mean,54.23226387916365,0.5446625728457819,2.87424352398187,-0.06864506027781613,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p50,53.29782328546341,0.5323177041368349,2.8787154210071653,-0.06698498973687991,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p75,58.24080169435776,0.597619254497922,2.855060101886982,-0.07582538872252298,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p95,68.9340289627691,0.7388871827037635,2.80388615724588,-0.09546036168449759,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_p99,75.06870741496967,0.8199322492115612,2.774527789783584,-0.10705185770668098,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_min,20.573683268650814,0.1,3.0353214004381823,-0.011934401245059715,True,True
M2_minmax_observed,cell_07,0.16,150.0,ALL_max,88.69887391735354,1.0,2.70929870893327,-0.1337052403306558,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.8297396060003974,-0.08545186893719327,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.8656281425484615,-0.07185789332985103,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.8179172555016274,-0.09000579699134972,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.8258920602826882,-0.08692974763921665,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::github::mean,51.68987795824728,0.5110751831146633,2.8864104697604964,-0.0641404526895281,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.839999347455528,-0.08153058087518668,True,True
M2_minmax_observed,cell_07,0.16,150.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.8413726656404097,-0.08100784563803082,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p01,37.836087196915436,0.3280531384572941,2.895883152760089,-0.04103632697969231,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p05,42.88931989600419,0.39481125518142657,2.871700196210977,-0.04980302772882144,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p25,49.31734182463843,0.4797316742023895,2.8409379922410447,-0.061170489797844556,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_mean,54.23226387916365,0.5446625728457819,2.8174169407548764,-0.07002961368720755,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p50,53.29782328546341,0.5323177041368349,2.8218888377801714,-0.06833391888082045,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p75,58.24080169435776,0.597619254497922,2.798233518659988,-0.07736525225936712,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p95,68.9340289627691,0.7388871827037635,2.7470595740188863,-0.09743508630985649,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_p99,75.06870741496967,0.8199322492115612,2.71770120655659,-0.10929029042581011,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_min,20.573683268650814,0.1,2.9784948172111885,-0.012162097208033296,True,True
M2_minmax_observed,cell_08,0.16,300.0,ALL_max,88.69887391735354,1.0,2.652472125706276,-0.1365697424281141,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.7729130227734036,-0.08720307342942966,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.8088015593214677,-0.07331169434412121,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.7610906722746336,-0.09185822507891675,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.7690654770556944,-0.08871371431680279,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::github::mean,51.68987795824728,0.5110751831146633,2.8295838865335026,-0.06542858653504693,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.783172764228534,-0.08319526529549905,True,True
M2_minmax_observed,cell_08,0.16,300.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.784546082413416,-0.08266104114851745,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p01,37.836087196915436,0.3280531384572941,2.8491721291386773,-0.041709100947709424,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p05,42.88931989600419,0.39481125518142657,2.8249891725895653,-0.05062651775392703,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p25,49.31734182463843,0.4797316742023895,2.794226968619633,-0.06219307537373712,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_mean,54.23226387916365,0.5446625728457819,2.7707059171334647,-0.07121023517392447,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p50,53.29782328546341,0.5323177041368349,2.7751778141587597,-0.06948409645960496,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p75,58.24080169435776,0.597619254497922,2.7515224950385764,-0.07867863789669338,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p95,68.9340289627691,0.7388871827037635,2.7003485503974747,-0.09912053266362592,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_p99,75.06870741496967,0.8199322492115612,2.6709901829351783,-0.11120158960253002,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_min,20.573683268650814,0.1,2.931783793589777,-0.012355871391249836,True,True
M2_minmax_observed,cell_09,0.16,600.0,ALL_max,88.69887391735354,1.0,2.6057611020848643,-0.13901789949801036,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.726201999151992,-0.08869721980012737,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::book::mean,56.03252048079162,0.5684457127685768,2.762090535700056,-0.07455150319251799,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.714379648653222,-0.09343898837546268,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.7223544534342827,-0.09023589244455091,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::github::mean,51.68987795824728,0.5110751831146633,2.782872862912091,-0.0665268171771597,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.7364617406071226,-0.0846153969731104,True,True
M2_minmax_observed,cell_09,0.16,600.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,2.737835058792004,-0.08407134591952967,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p01,37.836087196915436,0.3280531384572941,3.112061877773742,-0.038185747140945865,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p05,42.88931989600419,0.39481125518142657,3.08787892122463,-0.0463163770825693,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p25,49.31734182463843,0.4797316742023895,3.0571167172546976,-0.056844924333391604,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_mean,54.23226387916365,0.5446625728457819,3.0335956657685292,-0.06503919496696459,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p50,53.29782328546341,0.5323177041368349,3.0380675627938243,-0.06347150579963887,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p75,58.24080169435776,0.597619254497922,3.014412243673641,-0.07181699931921608,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p95,68.9340289627691,0.7388871827037635,2.963238299032539,-0.09032685180271714,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_p99,75.06870741496967,0.8199322492115612,2.933879931570243,-0.10123739249144288,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_min,20.573683268650814,0.1,3.1946735422248413,-0.011339106491400096,True,True
M2_minmax_observed,cell_10,0.41,10.0,ALL_max,88.69887391735354,1.0,2.868650850719929,-0.12627798008758967,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::arxiv::mean,63.53173283056447,0.6675175986675719,2.9890917477870564,-0.08089632515206328,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::book::mean,56.03252048079162,0.5684457127685768,3.0249802843351206,-0.068072510242997,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::c4::mean,66.00211266187863,0.700153717950492,2.9772693972882864,-0.0851884242212369,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::commoncrawl::mean,64.33570995356357,0.6781389180915486,2.9852442020693473,-0.08228944335131935,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::github::mean,51.68987795824728,0.5110751831146633,3.0457626115471554,-0.06078466965099042,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::stackexchange::mean,61.387873335966574,0.6391951304768007,2.999351489242187,-0.07719895361170313,True,True
M2_minmax_observed,cell_10,0.41,10.0,domain::wikipedia::mean,61.100906920424926,0.6354040251378182,3.0007248074270687,-0.07670596041616945,True,True
M2_minmax_observed,cell_11,0.41,50.0,ALL_p01,37.836087196915436,0.3280531384572941,2.861000294503123,-0.04153666400523174,True,True
