mapping_id,grid,N_params_B,D_tokens_B,Q_A_baseline_p05,Q_A_upper_p95,q_baseline,q_upper,delta_q,L_at_baseline_q,L_at_upper_q,delta_L_upper_minus_baseline,relative_loss_reduction,G_times_delta_q,base_L_at_Q1,epsilon_q_at_baseline,epsilon_q_at_upper
M5_linear_normalization_clamped,cell_10,0.41,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0548446271317364,2.969932965637646,-0.08491166149409057,0.027795738198906725,0.08491166149409092,2.868650850719929,-0.05763096984704962,-0.08786909438937866
M5_linear_normalization_clamped,cell_11,0.41,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8037830438611175,2.718871382367027,-0.08491166149409057,0.030284676155669262,0.08491166149409092,2.61758926744931,-0.06279146989604638,-0.09598295887779265
M5_linear_normalization_clamped,cell_12,0.41,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6874635535790743,2.6025518920849837,-0.08491166149409057,0.0315954653156163,0.08491166149409092,2.5012697771672667,-0.0655092264820441,-0.10027285945052734
M5_linear_normalization_clamped,cell_13,0.41,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6306369703520804,2.54572530885799,-0.08491166149409057,0.032277985313468066,0.08491166149409092,2.444443193940273,-0.06692434591994953,-0.10251118578257384
M5_linear_normalization_clamped,cell_14,0.41,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5839259467306688,2.499014285236578,-0.08491166149409057,0.03286149187112954,0.08491166149409092,2.397732170318861,-0.06813417343341586,-0.10442730224850891
M5_linear_normalization_clamped,cell_15,0.7,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.958781739160952,2.8738700776668615,-0.08491166149409057,0.028698183570028967,0.08491166149409092,2.7725879627491445,-0.059502076906685165,-0.09080623446262578
M5_linear_normalization_clamped,cell_16,0.7,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.707720155890333,2.6228084943962426,-0.08491166149409057,0.03135909791467004,0.08491166149409092,2.5215263794785256,-0.06501914838232681,-0.09949842721849751
M5_linear_normalization_clamped,cell_17,0.7,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.59140066560829,2.5064890041141994,-0.08491166149409057,0.03276670513402022,0.08491166149409092,2.4052068891964824,-0.06793764504661222,-0.10411588467349671
M5_linear_normalization_clamped,cell_18,0.7,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.534574082381296,2.4496624208872055,-0.08491166149409057,0.03350135317974763,0.08491166149409092,2.3483803059694885,-0.06946084544044727,-0.10653113582614644
M5_linear_normalization_clamped,cell_19,0.7,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.4878630587598844,2.402951397265794,-0.08491166149409057,0.0341303598665178,0.08491166149409092,2.301669282348077,-0.07076501175326244,-0.10860199685465209
M5_linear_normalization_clamped,cell_20,1.0,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.9022508458530636,2.817339184358973,-0.08491166149409057,0.02925717520779371,0.08491166149409092,2.716057069441256,-0.06066107581472783,-0.09262829322665274
M5_linear_normalization_clamped,cell_21,1.0,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6511892625824447,2.566277601088354,-0.08491166149409057,0.03202776304675459,0.08491166149409092,2.464995486170637,-0.06640554149731355,-0.1016902146428222
M5_linear_normalization_clamped,cell_22,1.0,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5348697723004014,2.449958110806311,-0.08491166149409057,0.03349744528178779,0.08491166149409092,2.348675995888594,-0.0694527429051637,-0.10651827838879038
M5_linear_normalization_clamped,cell_23,1.0,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.4780431890734076,2.393131527579317,-0.08491166149409057,0.0342656100057081,0.08491166149409092,2.2918494126616,-0.07104543591892795,-0.10904762946803485
M5_linear_normalization_clamped,cell_24,1.0,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.431332165451996,2.3464205039579054,-0.08491166149409057,0.034923924711169646,0.08491166149409092,2.2451383890401884,-0.07241036872513118,-0.11121847923147167
M5_linear_normalization_clamped,cell_25,2.8,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.767354579744499,2.6824429182504086,-0.08491166149409057,0.03068333278127669,0.08491166149409092,2.5811608033326916,-0.06361803430693913,-0.09728643927974173
M5_linear_normalization_clamped,cell_26,2.8,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.51629299647388,2.4313813349797893,-0.08491166149409057,0.033744743403522,0.08491166149409092,2.3300992200620723,-0.06996548448068542,-0.10733212282799352
