Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.1,logarithmic,2048,1e+22,4199,131,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.77722169707225e+21,5.893600774170538e+20,9.187861619655196e+21,False,True
0.1,logarithmic,2048,1e+24,4275,136,11.965825,299.893,1.0,2.0219298975598545,2.4023123126995873e+22,1.0224840392513163e+21,2.3000639087744557e+22,False,True
0.1,logarithmic,4096,1e+19,1171,37,0.6367157218190183,1.2139703865863611,1.0,3.348491760834686,9.409955529071845e+18,4.139027401134086e+18,5.270928127937759e+18,False,True
0.1,logarithmic,4096,1e+22,4184,131,11.965825,99.63563236812982,1.0,2.1178869562689053,8.469711257811523e+21,3.397073083970769e+20,8.130003949414447e+21,False,True
0.1,logarithmic,4096,1e+24,4275,138,11.965825,299.893,1.0,2.0219298975598545,2.5492959274390434e+22,1.0224840392513163e+21,2.447047523513912e+22,False,True
0.1,logarithmic,8192,1e+19,1131,39,0.6367157218190183,1.2139703865863611,0.9500000000000001,3.3666041325849587,9.930211628507527e+18,4.026079558405496e+18,5.904132070102031e+18,False,False
0.1,logarithmic,8192,1e+22,4175,134,11.965825,99.63563236812982,1.0,2.1178869562689053,9.446379963137707e+21,3.397073083970769e+20,9.10667265474063e+21,False,True
0.1,logarithmic,8192,1e+24,4275,141,11.965825,299.893,1.0,2.0219298975598545,2.843263156917955e+22,1.0224840392513163e+21,2.7410147529928236e+22,False,True
0.1,logarithmic,32768,1e+19,956,36,0.3058062134494701,1.2139703865863611,1.0,3.487631673889097,8.799421937888013e+18,4.139027401134086e+18,4.660394536753927e+18,False,True
0.1,logarithmic,32768,1e+22,4085,136,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.232121724718101e+21,5.893600774170538e+20,8.642761647301048e+21,False,True
0.1,logarithmic,32768,1e+24,4275,147,11.965825,299.893,1.0,2.0219298975598545,4.607066533791427e+22,1.0224840392513163e+21,4.504818129866295e+22,False,True
0.1,logarithmic,131072,1e+19,652,68,0.14687471500960447,1.2139703865863611,1.0,3.65836967718851,9.882905000350822e+18,4.139027401134086e+18,5.743877599216735e+18,False,True
0.1,logarithmic,131072,1e+22,3876,171,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.199199684904894e+21,3.397073083970769e+20,8.859492376507817e+21,False,True
0.1,logarithmic,131072,1e+24,4275,191,11.965825,299.893,1.0,2.0219298975598545,1.1662280041285313e+23,1.0224840392513163e+21,1.1560031637360182e+23,False,True
0.3,exponential,2048,1e+19,1036,103,0.3058062134494701,3.6539259348445197,0.7000000000000001,3.262556785558509,9.377663310375195e+18,2.2156195072317873e+18,7.162043803143408e+18,False,False
0.3,exponential,2048,1e+22,3315,204,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.87476487924371e+21,6.86903259588513e+20,9.187861619655196e+21,False,True
0.3,exponential,2048,1e+24,3375,209,11.965825,299.893,1.0,2.0219298975598545,2.4192351330143274e+22,1.1917122423987162e+21,2.3000639087744557e+22,False,True
0.3,exponential,4096,1e+19,1025,110,0.3058062134494701,3.6539259348445197,0.7000000000000001,3.262556785558509,9.835347587360895e+18,2.2156195072317873e+18,7.619728080129107e+18,False,False
0.3,exponential,4096,1e+22,3311,209,11.965825,99.63563236812982,1.0,2.1178869562689053,8.52593517445884e+21,3.959312250443929e+20,8.130003949414447e+21,False,True
0.3,exponential,4096,1e+24,3375,216,11.965825,299.893,1.0,2.0219298975598545,2.5662187477537835e+22,1.1917122423987162e+21,2.447047523513912e+22,False,True
