mapping_scenario,cost_family,Lctx,budget_flops,candidate_count,Q_A_min_0_100,Q_A_median_0_100,Q_A_max_0_100,Q_B_min,Q_B_median,Q_B_max,N_B_min,N_B_median,N_B_max,D_B_min,D_B_median,D_B_max,loss_min,loss_median,loss_max,quality_cost_share_min,quality_cost_share_median,quality_cost_share_max,budget_active_rate
M2_interval_high,power,131072,1e+19,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,0.18267729181074233,0.2029795812754909,0.2092452760615675,0.9026158658502131,0.9532073764296938,1.1499330928688551,3.6716872659286595,3.687697653238394,3.6932041621081377,0.3232828486014058,0.37685231054872237,0.3915727285195967,1.0
M2_interval_high,power,131072,1e+22,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,3.6994549034289514,3.7420782071761547,3.7561206000669194,79.7833909648133,80.3184686981428,81.97592217689227,2.256905106066132,2.2645757936734325,2.2915062441297427,0.023046044854615526,0.03177363436248163,0.03461162303103046,1.0
M2_interval_high,power,131072,1e+24,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,2.0345521554191395,2.0425525924327346,2.0704808498317453,0.007240382351199626,0.010159102078715178,0.011129007060663592,0.0
M2_interval_low,exponential,2048,1e+19,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,0.2592520824986402,0.2834654745896492,0.33795003228927506,3.6469119582369744,5.015818442751382,5.851258704155144,3.249344882401578,3.27681854210498,3.324268408784929,0.027695084290394616,0.0920603309948585,0.21003345595958153,1.0
M2_interval_low,exponential,2048,1e+22,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,8.103376725953042,8.131628215852611,8.207238598982464,188.0369468995153,191.16833904594455,192.3567606567111,2.2045912116912088,2.272106976276101,2.3368238225276956,0.0009104599488020346,0.0036281092701183023,0.010829449753012378,1.0
M2_interval_low,exponential,2048,1e+24,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,11.965824999999997,11.965825000000002,11.965825000000002,299.8929999999996,299.89299999999986,299.89299999999986,2.1375753259346917,2.205709367038331,2.2706565745836675,0.0006167538668192332,0.0024709427567499967,0.007453163260565695,0.0
M2_interval_low,exponential,4096,1e+19,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,0.25103328429168553,0.2738833794758185,0.3254678564091146,3.577367276829651,4.890650729662868,5.684473048409515,3.2620502841753978,3.2901616098705295,3.337938969388084,0.026905657087149256,0.08983361617983444,0.2060282290861609,1.0
M2_interval_low,exponential,4096,1e+22,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,7.85434195998576,7.880900247538193,7.952004463315002,182.47432560591997,185.42250264723026,186.5405037341029,2.20980357764357,2.2773326253041626,2.342054468898367,0.0008829305343860992,0.0035192157993254617,0.01050908650107216,1.0
M2_interval_low,exponential,4096,1e+24,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,11.965824999999997,11.965825000000002,11.965825000000002,299.8929999999996,299.89299999999986,299.89299999999986,2.1375753259346917,2.205709367038331,2.2706565745836675,0.0005797295925381587,0.0023229298238796473,0.0070086214312915195,0.0
M2_interval_low,exponential,8192,1e+19,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,0.23666839893538252,0.2572133663703845,0.3038680201890556,3.4518623909194117,4.668053590824083,5.390545743121421,3.285666907847134,3.314931335914761,3.363295741331661,0.025514445057948525,0.08586571083973721,0.19880013440514868,1.0
M2_interval_low,exponential,8192,1e+22,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,7.4179503340203325,7.44167254023682,7.505206444126048,172.70056453303272,175.3402937559476,176.34008514625972,2.2194693773133576,2.2870220312833442,2.3517527497953252,0.0008346500759631117,0.00332811810906628,0.009946194706761346,1.0
M2_interval_low,exponential,8192,1e+24,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,11.965824999999997,11.965825000000002,11.965825000000002,299.8929999999996,299.89299999999986,299.89299999999986,2.1375753259346917,2.205709367038331,2.2706565745836675,0.0005175871710148109,0.002074409756272832,0.006261670298829139,0.0
M2_interval_low,exponential,32768,1e+19,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,0.18302629875081666,0.19588242193960298,0.22581015354570178,2.9319909557122523,3.790026419432591,4.264445453519109,3.3945488325166715,3.428628569569824,3.4793743160624344,0.020184405144001716,0.07011238432524611,0.16885962708248925,1.0
M2_interval_low,exponential,32768,1e+22,6,54.69684695534518,57.21373514416787,59.85412215681664,0.31337905258027526,0.4926686796948404,0.6807557012154007,5.7753767389984,5.789825034957063,5.828605388957052,135.60075516543253,137.22549127152212,137.8376826838866,2.263683657195752,2.331329484128797,2.3960951560830734,0.0006524111192714125,0.0026054256718657316,0.007809537374156109,1.0
