block,dataset,role,target,delta_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only,delta_mean_residual_vs_p_only
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_dm_mathematics_val_loss,0.001181695820569817,-0.006088285222780376,-0.002330017962758002,0.0038506575935398774
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_github_val_loss,0.018368770369901033,-0.018344638696769278,-0.016929742242750956,-0.002355643309071148
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_stackexchange_val_loss,0.005751059749383058,-0.0060815725556525035,-0.00350891732263775,-0.0023267203598063627
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_gutenberg_pg_19_val_loss,0.004714541039342102,-0.003100302276030281,-0.0019909806771839234,0.00046985611630678825
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pile_cc_val_loss,0.04247268892143519,-0.011492307561265097,-0.012528485614606594,-2.3377239193211885e-05
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_ubuntu_irc_val_loss,-0.0014667658317560894,0.0019456608859022007,0.0017211424685964483,0.00010181266809446143
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_hackernews_val_loss,0.0010808443123444533,-0.0015264235864745346,-0.0003207848282000547,-0.000514318414003942
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_abstracts_val_loss,0.07103323559543417,-0.026327077961333656,-0.038980251844711045,0.008665668221385939
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_uspto_backgrounds_val_loss,0.03214013027681806,-0.014306476734905066,-0.020308151903895733,0.005285595754435615
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,-0.015181289172529588,-0.001415168289991886,0.0014067872781811097,0.001415168289991886
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,0.033888740340432655,-0.0029373005773458694,-0.0050193412924735,0.0029373005773458694
