block,alpha,fold,mean_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse
p_q_raw_coverage,0.0001,3,0.7315731642397232,0.7392012940561371,0.8722697029181018,0.29528294976889063,0.42081135535855324
p_q_raw_coverage,0.0001,4,0.7654417118767385,0.7684214297549659,0.8895680544639273,0.275323524621394,0.38781586603319707
p_q_raw_coverage,0.0001,5,0.7141339657519029,0.7222785895996467,0.8736058994468616,0.2835500624589209,0.40114325292701675
p_q_raw_coverage,0.001,1,0.7613100529304515,0.7651815442529062,0.8791248618709849,0.27468917906219786,0.3755968475743261
p_q_raw_coverage,0.001,2,0.7510552398730432,0.7590299813718863,0.8883613421240272,0.27944047386105847,0.382935571855001
p_q_raw_coverage,0.001,3,0.7315729923395735,0.7392018367426988,0.8722557842042605,0.295282149707748,0.4208112505282253
p_q_raw_coverage,0.001,4,0.7654480735619049,0.7684284970704097,0.8896037211681453,0.2753193271087535,0.387812684051498
p_q_raw_coverage,0.001,5,0.7141278840164963,0.7222724642137544,0.8736058994468616,0.28354996212907574,0.4011454013819984
p_q_raw_coverage,0.01,1,0.7613182808265464,0.7651894302605473,0.8790150345195814,0.27468862316801146,0.37558159899177807
p_q_raw_coverage,0.01,2,0.7510747681338598,0.7590509432672736,0.8883486697373267,0.2794384107153511,0.3829292739954603
p_q_raw_coverage,0.01,3,0.7315708986059247,0.7392068524543589,0.8722853614711732,0.2952741966786414,0.42081035893871677
p_q_raw_coverage,0.01,4,0.7655107566379162,0.7684982079345504,0.8896593960235104,0.27527767054669494,0.3877812645619307
p_q_raw_coverage,0.01,5,0.7140670880124635,0.7222112370190926,0.8736224279195481,0.2835489507416617,0.401166861668025
p_q_raw_coverage,0.1,1,0.7613332410287825,0.7652010698178917,0.8788443797120157,0.27468868832068755,0.37546654354491243
p_q_raw_coverage,0.1,2,0.7511945557476357,0.7591840587158608,0.8884534281340505,0.2794554300517582,0.382892017225281
p_q_raw_coverage,0.1,3,0.7315169134274129,0.7392205034476821,0.8721835808762091,0.2952248470330116,0.4208153361525448
p_q_raw_coverage,0.1,4,0.7660530136678454,0.7691079752581788,0.8897942335638477,0.2749131305216977,0.38750355376438184
p_q_raw_coverage,0.1,5,0.7134636759372246,0.721603991158026,0.8734388748807665,0.2835482028816248,0.40137829421661486
p_q_raw_coverage,1.0,1,0.7591610534110337,0.7630014755545067,0.8762887817274323,0.2756539378816927,0.3757897828995805
p_q_raw_coverage,1.0,2,0.7496079628042691,0.7576713468300788,0.8879701877878744,0.2807863035696249,0.38346934524522447
p_q_raw_coverage,1.0,3,0.729820287994031,0.737975389071705,0.8718460520655589,0.29550958315938736,0.42138187967107793
p_q_raw_coverage,1.0,4,0.7675488320972634,0.7710762691163098,0.8900534696091409,0.27387488239046787,0.3865081599616714
p_q_raw_coverage,1.0,5,0.7086451452682296,0.716768374543952,0.8712806043157583,0.2839835222814128,0.40297245388557273
p_q_raw_coverage,10.0,1,0.7502330236578132,0.7538841374393275,0.8706740695933685,0.27988191782771993,0.3789931990020549
p_q_raw_coverage,10.0,2,0.7416677617525386,0.7497276875583526,0.8829975432466317,0.28537250423301713,0.386741707435666
p_q_raw_coverage,10.0,3,0.7226016523923029,0.7317947888523035,0.8705472620802475,0.29808648871664645,0.42443998062100885
p_q_raw_coverage,10.0,4,0.7639394175901463,0.7684781027909717,0.8878369144299221,0.275727019505244,0.388221038943739
p_q_raw_coverage,10.0,5,0.7007245290449027,0.7087647676641751,0.866870981786928,0.2839805855191391,0.4039037244278181
p_q_raw_coverage,100.0,1,0.7216974170150289,0.7245051730224872,0.8642517040135983,0.2999827882140308,0.40326957882765124
p_q_raw_coverage,100.0,2,0.7169177407543634,0.7243293916619559,0.8809530648589649,0.30560739511131096,0.4121522696108637
p_q_raw_coverage,100.0,3,0.6890813532041646,0.7017802175885339,0.8698991719670145,0.3171246008252691,0.4538238793343774
p_q_raw_coverage,100.0,4,0.7339300706095113,0.7408881081244874,0.8858091318071752,0.2979423049270515,0.41844042181476987
p_q_raw_coverage,100.0,5,0.6881826306765343,0.6956962552129254,0.8663551194551868,0.2879309921183897,0.40832685520926126
p_q_renorm_coverage,0.0001,1,0.7659041159358128,0.771269669836616,0.8790944481429039,0.2726296995175359,0.3709729960638839
p_q_renorm_coverage,0.0001,2,0.7433369791943479,0.7495867535842453,0.883402214795265,0.282493789086306,0.3825914419981121
