block,dataset,role,alpha,target,r2,centered_relative_r2,spearman,mae,rmse,mean_residual
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_gutenberg_pg_19_val_loss,-6.056981623977257,0.7090633343026909,0.8747024490730143,1.001142269214262,1.0224400473544029,-1.001142269214262
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_pile_cc_val_loss,-11.46016714559176,0.6634777315678855,0.8344300755321583,1.0927159866175529,1.1077777237385045,-1.0927159866175529
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_ubuntu_irc_val_loss,-7.7064704909962884,0.5906676447699761,0.8671878576333255,2.0238646211103983,2.0731864636060973,-2.0238646211103983
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_hackernews_val_loss,-10.092536731184703,0.6472388396319244,0.8354586289768823,1.0094739971635855,1.0259187596326693,-1.0094739971635855
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_pubmed_abstracts_val_loss,-5.779292964213292,0.6996999509939569,0.8722419317921719,1.3923601915336157,1.424262522544253,-1.3923601915336157
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,metric/the_pile_uspto_backgrounds_val_loss,-9.866704746908491,0.7792728014036128,0.8936005092698557,1.4103888191515455,1.4249348790136014,-1.4103888191515455
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_arxiv_val_loss,-561.0179696700981,-4.8232342396923675,0.7873626373626373,2.474339633749966,2.487258797351594,-2.474339633749966
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_freelaw_val_loss,-458.98509585800423,-0.2262946831520103,0.9011904761904761,2.9674963527532445,2.971459869521143,-2.9674963527532445
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_pubmed_central_val_loss,-2824.6771930787536,-8.386111757138613,0.7818223443223443,2.78092268946496,2.7855529528838674,-2.78092268946496
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_wikipedia_en_val_loss,-383.8297139693159,0.06085383205042738,0.9373626373626371,3.100007610714894,3.103797208722814,-3.100007610714894
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_dm_mathematics_val_loss,-91.19507388302196,-11.025931953704903,0.9329670329670329,2.661677263114426,2.854339551749894,-2.661677263114426
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_github_val_loss,-971.6222285212139,-3.766942793946658,0.792032967032967,3.7342171068780985,3.743401814030717,-3.7342171068780985
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_stackexchange_val_loss,-572.1225198313831,-1.8289538238477854,0.8816849816849816,3.085258528731244,3.0929013089318262,-3.085258528731244
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_gutenberg_pg_19_val_loss,-123.03273711203266,0.802011216856214,0.923168498168498,2.6928693573557743,2.695021196800923,-2.6928693573557743
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_pile_cc_val_loss,-680.543167639794,0.3910922199063396,0.716941391941392,2.629429618192316,2.630605005065135,-2.629429618192316
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_ubuntu_irc_val_loss,-108.51298899773383,-0.5690449660681263,0.8818681318681317,4.392902218718706,4.424714073004358,-4.392902218718706
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_hackernews_val_loss,-146.82794535607246,0.8045901530689622,0.8318223443223443,2.3921965274753516,2.3937791873312113,-2.3921965274753516
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_pubmed_abstracts_val_loss,-618.0330355617948,-1.6989323317868452,0.8653388278388278,2.8075790947665444,2.8137195862787285,-2.8075790947665444
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,metric/the_pile_uspto_backgrounds_val_loss,-369.9517384153079,-0.22338021756506588,0.9606227106227107,2.700827569312408,2.705292212372009,-2.700827569312408
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_arxiv_val_loss,-119.91115795410302,-3.3898210997056353,0.8867127496159755,3.300567762083521,3.362165707882725,-3.300567762083521
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_freelaw_val_loss,-127.12770786271705,-1.4459716868235484,0.8489823348694316,3.4535398027290327,3.486983629154175,-3.4535398027290327
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_pubmed_central_val_loss,-193.21851508845873,-4.353892052287837,0.8692396313364056,3.4348349114643555,3.483179654813175,-3.4348349114643555
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_wikipedia_en_val_loss,-279.2058162922508,-0.8949334967571143,0.5347430575430833,3.843864757820116,3.856928407428349,-3.843864757820116
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_dm_mathematics_val_loss,-43.99558776305315,-2.325033697384295,0.9050979262672811,2.7424296892960527,2.8402609593082944,-2.733303875627815
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_github_val_loss,-173.23435748619676,-4.34877687803153,0.8234927035330262,3.5440067189454636,3.5996904017339633,-3.5440067189454636
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_stackexchange_val_loss,-347.564933111748,-5.935271109083195,0.7065176953957232,3.4946928363351155,3.5299867138030474,-3.4946928363351155
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_gutenberg_pg_19_val_loss,-277.26291010822166,-0.6239234416675403,0.6270641321044547,3.5569274300301323,3.5673520738543774,-3.5569274300301323
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_pile_cc_val_loss,-327.107403989237,-0.31090363161309686,0.40250576036866365,3.800755753636801,3.8083712542876875,-3.800755753636801
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_ubuntu_irc_val_loss,-210.13288341611053,-2.9850973740761177,0.8895449308755762,4.459741807777416,4.502435580988317,-4.459741807777416
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_hackernews_val_loss,-440.1710878439857,-1.1758027863011375,0.353110599078341,3.597020190982499,3.6059231715230657,-3.597020190982499
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_pubmed_abstracts_val_loss,-282.390704380107,-2.119428033711877,0.5685003840245776,3.5966220684411363,3.6165819414337843,-3.5966220684411363
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,metric/the_pile_uspto_backgrounds_val_loss,-234.7187359935646,-1.2693472402211756,0.655585824569873,3.4234308207146333,3.4400300591195454,-3.4234308207146333
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_arxiv_val_loss,-242.09274007695842,-7.610686691183679,0.8493663594470046,3.6639899843057435,3.7306582587416246,-3.6639899843057435
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_freelaw_val_loss,-219.10001514587717,-3.168161603755526,0.7994431643625193,3.8236334535226835,3.860361116278464,-3.8236334535226835
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_pubmed_central_val_loss,-355.31087768255134,-8.493753158937082,0.7930587557603687,3.802634911464356,3.8543300856414593,-3.802634911464356
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_wikipedia_en_val_loss,-419.3839343826434,-1.6360739188250726,0.45914938556067597,4.25742666258202,4.270838152389926,-4.25742666258202
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,metric/the_pile_dm_mathematics_val_loss,-93.63104037641438,-6.000016034061074,0.9065380184331797,3.030107467073831,3.143591489149959,-3.02508958991353
