cost_family,budget_flops,Lctx,N_B_min,N_B_p05,N_B_median,N_B_p95,N_B_max,D_B_min,D_B_p05,D_B_median,D_B_p95,D_B_max,Q_min,Q_p05,Q_median,Q_p95,Q_max,loss_min,loss_p05,loss_median,loss_p95,loss_max,quality_cost_flops_min,quality_cost_flops_p05,quality_cost_flops_median,quality_cost_flops_p95,quality_cost_flops_max,base_train_attn_cost_flops_min,base_train_attn_cost_flops_p05,base_train_attn_cost_flops_median,base_train_attn_cost_flops_p95,base_train_attn_cost_flops_max
exponential,1e+24,2048,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.2043903049351105e+21,1.2043903049351108e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.2043903049351123e+21,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22,2.3000639087744553e+22
exponential,1e+24,4096,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.2043903049351105e+21,1.2043903049351108e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.2043903049351123e+21,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22,2.4470475235139114e+22
exponential,1e+24,8192,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.2043903049351105e+21,1.2043903049351108e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.2043903049351123e+21,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22,2.741014752992823e+22
exponential,1e+24,32768,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.2043903049351105e+21,1.2043903049351108e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.2043903049351123e+21,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22,4.5048181298662946e+22
exponential,1e+24,131072,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.9656902313733366,1.9668372469898698,1.9746471455146226,1.9852039629468214,1.985393742544411,1.2043903049351105e+21,1.2043903049351108e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.2043903049351123e+21,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23,1.156003163736018e+23
logarithmic,1e+19,2048,0.7084738908691623,0.7237572191508176,0.8087346328875067,0.8900935449660834,0.9043616351707706,1.0862371822687236,1.0975917739726664,1.1637160295293316,1.2431797161431002,1.257777714489262,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,3.3266871853194413,3.326754297338138,3.3321867181156235,3.342194578453841,3.343889984097194,3.7035215283820984e+18,3.742234965472984e+18,3.967685362494807e+18,4.2386164988089134e+18,4.288388318471151e+18,5.711611681533306e+18,5.761383501196161e+18,6.032314637507846e+18,6.257765034532898e+18,6.296478471624595e+18
logarithmic,1e+19,4096,0.681430063715681,0.6963309504341265,0.778861498486689,0.8577208428264718,0.8715404602074537,1.0692094016482252,1.0805544237777742,1.1466958198243822,1.2265369640071402,1.2412639725304313,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,3.339693149321609,3.3397501598441854,3.345473082047944,3.355593940148117,3.3573036084309074,3.6454653753264005e+18,3.6841461849899034e+18,3.909655022446784e+18,4.181873098902165e+18,4.232084778271084e+18,5.767915221735336e+18,5.818126901103169e+18,6.090344977561624e+18,6.31585381501301e+18,6.354534624676523e+18
logarithmic,1e+19,8192,0.6347123257007636,0.6489388667869797,0.7271912393732957,0.8017017127283101,0.8147420279237589,1.038117419924421,1.0494372156173053,1.1155642269243764,1.1960410927268699,1.2109934743598185,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,3.363349326033399,3.363640089808215,3.370281392901598,3.3806034356798516,3.3823376774015728,3.5394573822712663e+18,3.578052182495213e+18,3.8035119752375296e+18,4.0778975421297853e+18,4.1288776302561654e+18,5.871122369752744e+18,5.922102457879436e+18,6.196488024768799e+18,6.421947817510771e+18,6.460542617734942e+18
logarithmic,1e+19,32768,0.46691974513480095,0.4785543419185102,0.5408004240404779,0.5992867660011909,0.6094670665190111,0.9041180992098145,0.9152053434134428,0.9805374698519409,1.0628779814989084,1.0786299793453988,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,3.4741102096810845,3.4755261385641103,3.4864595905461684,3.4975565720268444,3.4993711673721837,3.0825872095723254e+18,3.120389126380959e+18,3.3431387621967775e+18,3.623878422484986e+18,3.6775847990404823e+18,6.322415200972583e+18,6.376121577526013e+18,6.656861237804153e+18,6.879610873621204e+18,6.917412790428043e+18
logarithmic,1e+19,131072,0.2658239992652404,0.2738351436114896,0.3149094762849507,0.3528554943365445,0.3594024330745332,0.6672258052493089,0.6773257638712072,0.7377832672552866,0.8189708946172087,0.8352225492210634,1.0,1.0,1.0,1.0,1.0,3.71922126544292,3.7232579595548443,3.7435364223033094,3.7554107383140627,3.7572127544713063,2.274903837182013e+18,2.3093396075667497e+18,2.5154692346777646e+18,2.792278140394966e+18,2.8476880947582444e+18,7.15231190525223e+18,7.207721859614961e+18,7.484530765330986e+18,7.690660392435587e+18,7.725096162818822e+18
