fold,cost_family,Lctx,budget_flops,loss,total_cost_flops,Q,pareto_flag
fold_2,exponential,131072,1e+22,2.2246096568725333,1.000000000000881e+22,0.9999999999999997,True
fold_2,exponential,131072,1e+24,1.9844448445564633,1.1680470667853692e+23,0.9999999999999997,True
fold_2,logarithmic,2048,1e+19,3.343889984097194,1.0000000000006693e+19,1.0,True
fold_2,logarithmic,2048,1e+22,2.0598166617409164,1.0000000000001348e+22,1.0,True
fold_2,logarithmic,2048,1e+24,1.9844448445564633,2.402312312699587e+22,0.9999999999999997,True
fold_2,logarithmic,4096,1e+19,3.3573036084309074,1.0000000000002925e+19,1.0,True
fold_2,logarithmic,4096,1e+22,2.065363499915199,1.0000000000007426e+22,1.0,True
fold_2,logarithmic,4096,1e+24,1.9844448445564633,2.549295927439043e+22,0.9999999999999997,True
fold_2,logarithmic,8192,1e+19,3.3823376774015728,1.0000000000006207e+19,1.0,True
fold_2,logarithmic,8192,1e+22,2.0756690069557395,1.0000000000002101e+22,0.9999999999999998,True
fold_2,logarithmic,8192,1e+24,1.9844448445564633,2.8432631569179547e+22,0.9999999999999997,True
fold_2,logarithmic,32768,1e+19,3.4993711673721837,1.0000000000000369e+19,1.0,True
fold_2,logarithmic,32768,1e+22,2.12310924470689,9.999999999999996e+21,0.9999999999999999,True
fold_2,logarithmic,32768,1e+24,1.9844448445564633,4.607066533791426e+22,0.9999999999999997,True
fold_2,logarithmic,131072,1e+19,3.7572127544713063,1.0000000000000836e+19,1.0,True
fold_2,logarithmic,131072,1e+22,2.224180589473056,1.0000000000006388e+22,0.9999999999999983,True
fold_2,logarithmic,131072,1e+24,1.9844448445564633,1.1662280041285311e+23,0.9999999999999997,True
fold_2,power,2048,1e+19,3.3290123017438162,1.0000000000009193e+19,0.6196278071732885,True
fold_2,power,2048,1e+22,2.061915633464336,1.0000000000003806e+22,1.0,True
fold_2,power,2048,1e+24,1.9844448445564633,2.4499954141244552e+22,0.9999999999999997,True
fold_2,power,4096,1e+19,3.3441975723688895,1.0000000000007133e+19,0.6250366973970358,True
fold_2,power,4096,1e+22,2.0674143756183896,1.0000000000004207e+22,1.0,True
fold_2,power,4096,1e+24,1.9844448445564633,2.5969790288639113e+22,0.9999999999999997,True
fold_2,power,8192,1e+19,3.372385543199456,1.0000000000014965e+19,0.6350650774212394,True
fold_2,power,8192,1e+22,2.077634183638856,1.000000000000241e+22,0.9999999999999994,True
fold_2,power,8192,1e+24,1.9844448445564633,2.890946258342823e+22,0.9999999999999997,True
fold_2,power,32768,1e+19,3.501790530063504,1.0000000000006052e+19,0.6809123381781581,True
fold_2,power,32768,1e+22,2.1247340920220408,1.0000000000008791e+22,0.9999999999999999,True
fold_2,power,32768,1e+24,1.9844448445564633,4.654749635216294e+22,0.9999999999999997,True
fold_2,power,131072,1e+19,3.776152028315011,1.0000000000000225e+19,0.7771696397662573,True
fold_2,power,131072,1e+22,2.2253002065872765,1.0000000000009502e+22,0.999999999999999,True
fold_2,power,131072,1e+24,1.9844448445564633,1.170996314271018e+23,0.9999999999999997,True
fold_3,exponential,2048,1e+19,3.2813399795433114,1.000000000000082e+19,0.7122320032117025,True
fold_3,exponential,2048,1e+22,2.0490339488978844,1.0000000000007512e+22,1.0,True
fold_3,exponential,2048,1e+24,1.9746471455146226,2.4205029392679665e+22,0.9999999999999999,True
fold_3,exponential,4096,1e+19,3.2965454970974006,1.0000000000007066e+19,0.7160883336734469,True
fold_3,exponential,4096,1e+22,2.0544066374250707,1.0000000000002116e+22,1.0,True
fold_3,exponential,4096,1e+24,1.9746471455146226,2.5674865540074226e+22,0.9999999999999999,True
fold_3,exponential,8192,1e+19,3.3248050620488687,1.0000000000008591e+19,0.7231582441602645,True
fold_3,exponential,8192,1e+22,2.0643937999857256,1.0000000000056971e+22,1.0,True
fold_3,exponential,8192,1e+24,1.9746471455146226,2.8614537834863343e+22,0.9999999999999999,True
