fold,Lctx,budget_flops,bounded_loss,bounded_cost_flops,pareto_flag
fold_2,131072,1e+24,2.093387695442869,1.156003163736018e+23,True
fold_3,2048,1e+19,2.99892981897197,1e+19,True
fold_3,2048,1e+22,2.1432134358880273,1.00000000000004e+22,True
fold_3,2048,1e+24,2.093381392591238,2.3000639087744553e+22,True
fold_3,4096,1e+19,3.0114377853252483,1e+19,True
fold_3,4096,1e+22,2.147514017486565,1.000000000000096e+22,True
fold_3,4096,1e+24,2.093381392591238,2.4470475235139114e+22,True
fold_3,8192,1e+19,3.034655415128376,1.0000000000000002e+19,True
fold_3,8192,1e+22,2.1555542745430634,1.0000000000002609e+22,True
fold_3,8192,1e+24,2.093381392591238,2.741014752992823e+22,True
fold_3,32768,1e+19,3.141233901174247,1e+19,True
fold_3,32768,1e+22,2.1924641938356033,1e+22,True
fold_3,32768,1e+24,2.093381392591238,4.5048181298662946e+22,True
fold_3,131072,1e+19,3.3671554811033935,9.999999999999996e+18,True
fold_3,131072,1e+22,2.2707046304471223,1.0000000000000002e+22,True
fold_3,131072,1e+24,2.093381392591238,1.156003163736018e+23,True
fold_4,2048,1e+19,2.9989368872725586,1.0000000000018747e+19,True
fold_4,2048,1e+22,2.1432147076322003,1.00000000000004e+22,True
fold_4,2048,1e+24,2.093380474019428,2.3000639087744553e+22,True
fold_4,4096,1e+19,3.011444931151989,1.0000000000000387e+19,True
fold_4,4096,1e+22,2.1475154476356093,1.000000000028992e+22,True
fold_4,4096,1e+24,2.093380474019428,2.4470475235139114e+22,True
fold_4,8192,1e+19,3.034662704572097,1.0000000000000002e+19,True
fold_4,8192,1e+22,2.1555557780565655,9.999999999999996e+21,True
fold_4,8192,1e+24,2.093380474019428,2.741014752992823e+22,True
fold_4,32768,1e+19,3.141241845231717,1.0000000000006375e+19,True
fold_4,32768,1e+22,2.1924659601334566,1.0000000000000002e+22,True
fold_4,32768,1e+24,2.093380474019428,4.5048181298662946e+22,True
fold_4,131072,1e+19,3.367164789521376,1.0000000000002263e+19,True
fold_4,131072,1e+22,2.2707069457281843,1.0000000000017725e+22,True
fold_4,131072,1e+24,2.093380474019428,1.156003163736018e+23,True
fold_5,2048,1e+19,2.998940691489792,1.0000000000001055e+19,True
fold_5,2048,1e+22,2.143210919100714,1.0000000000000398e+22,True
fold_5,2048,1e+24,2.093378393182994,2.3000639087744553e+22,True
fold_5,4096,1e+19,3.0114485753027482,1.0000000000000342e+19,True
fold_5,4096,1e+22,2.1475115345494364,1.0000000000350424e+22,True
fold_5,4096,1e+24,2.093378393182994,2.4470475235139114e+22,True
fold_5,8192,1e+19,3.034666036016799,9.999999999999998e+18,True
fold_5,8192,1e+22,2.155552143789128,1e+22,True
fold_5,8192,1e+24,2.093378393182994,2.741014752992823e+22,True
fold_5,32768,1e+19,3.141243490160429,9.999999999999998e+18,True
fold_5,32768,1e+22,2.192463691118655,1.000000000000168e+22,True
fold_5,32768,1e+24,2.093378393182994,4.5048181298662946e+22,True
fold_5,131072,1e+19,3.367161602334925,1.0000000000000358e+19,True
fold_5,131072,1e+22,2.270707135354927,9.999999999999996e+21,True
fold_5,131072,1e+24,2.093378393182994,1.156003163736018e+23,True
fold_6,2048,1e+19,2.9989323625190685,1e+19,True
fold_6,2048,1e+22,2.143207565048463,1.0000000000000352e+22,True
fold_6,2048,1e+24,2.09337256925018,2.3000639087744553e+22,True
fold_6,4096,1e+19,3.01144027812227,1.0000000000011454e+19,True
fold_6,4096,1e+22,2.147508369360908,1.000000000038776e+22,True
fold_6,4096,1e+24,2.09337256925018,2.4470475235139114e+22,True
fold_6,8192,1e+19,3.0346578039992838,1.0000000000002943e+19,True
fold_6,8192,1e+22,2.1555488675147814,1e+22,True
fold_6,8192,1e+24,2.09337256925018,2.741014752992823e+22,True
fold_6,32768,1e+19,3.1412356563667343,1.0000000000002142e+19,True
fold_6,32768,1e+22,2.192459783317428,1.0000000000000002e+22,True
fold_6,32768,1e+24,2.09337256925018,4.5048181298662946e+22,True
fold_6,131072,1e+19,3.3671551088756284,1e+19,True
fold_6,131072,1e+22,2.270702060718411,1.0000000000000004e+22,True
fold_6,131072,1e+24,2.09337256925018,1.156003163736018e+23,True
fold_7,2048,1e+19,2.9989322723910004,1e+19,True
fold_7,2048,1e+22,2.1432094199072282,1.0000000000000373e+22,True
fold_7,2048,1e+24,2.0933775579369303,2.3000639087744553e+22,True
fold_7,4096,1e+19,3.011440357198029,1.0000000000000002e+19,True
fold_7,4096,1e+22,2.1475099911151325,1.0000000000000002e+22,True
fold_7,4096,1e+24,2.0933775579369303,2.4470475235139114e+22,True
fold_7,8192,1e+19,3.0346582081979836,1.0000000000008978e+19,True
fold_7,8192,1e+22,2.1555502847867998,1.0000000000000004e+22,True
fold_7,8192,1e+24,2.0933775579369303,2.741014752992823e+22,True
fold_7,32768,1e+19,3.141237730890057,9.999999999999998e+18,True
fold_7,32768,1e+22,2.1924603980212067,1e+22,True
fold_7,32768,1e+24,2.0933775579369303,4.5048181298662946e+22,True
fold_7,131072,1e+19,3.367161614719997,1.000000000000068e+19,True
fold_7,131072,1e+22,2.2707012826105255,9.999999999999998e+21,True
fold_7,131072,1e+24,2.0933775579369303,1.156003163736018e+23,True
fold_8,2048,1e+19,2.9989408964747915,1.0000000000000023e+19,True
fold_8,2048,1e+22,2.1432108549839275,1.0000000000000398e+22,True
fold_8,2048,1e+24,2.093379897707349,2.3000639087744553e+22,True
fold_8,4096,1e+19,3.0114489662637274,1.000000000000039e+19,True
fold_8,4096,1e+22,2.1475113543799984,1.0000000000000954e+22,True
fold_8,4096,1e+24,2.093379897707349,2.4470475235139114e+22,True
fold_8,8192,1e+19,3.0346667824462243,1.0000000000000772e+19,True
fold_8,8192,1e+22,2.1555518034477443,9.999999999999998e+21,True
fold_8,8192,1e+24,2.093379897707349,2.741014752992823e+22,True
fold_8,32768,1e+19,3.1412460335140144,1.0000000000002142e+19,True
fold_8,32768,1e+22,2.1924626906057862,1.0000000000000004e+22,True
fold_8,32768,1e+24,2.093379897707349,4.5048181298662946e+22,True
fold_8,131072,1e+19,3.3671687817945335,1.0000000000000586e+19,True
fold_8,131072,1e+22,2.270705021872586,9.999999999999996e+21,True
fold_8,131072,1e+24,2.093379897707349,1.156003163736018e+23,True
