N_params_B,D_tokens_B,perturbed_parameter,relative_change,baseline_loss,perturbed_loss,delta,observed_joint_row
1.0,1.0,alpha,0.1,3.2840834671350643,3.2840834671350643,0.0,False
1.0,1.0,beta,-0.1,3.2840834671350643,3.2840834671350643,0.0,False
1.0,1.0,beta,0.1,3.2840834671350643,3.2840834671350643,0.0,False
1.0,10.0,alpha,-0.1,2.6948821936867025,2.6948821936867025,0.0,False
1.0,10.0,alpha,0.1,2.6948821936867025,2.6948821936867025,0.0,False
1.0,10.0,beta,-0.1,2.6948821936867025,2.738223727484872,0.04334153379816952,False
1.0,10.0,beta,0.1,2.6948821936867025,2.6542456779521992,-0.04063651573450322,False
1.0,100.0,alpha,-0.1,2.3855781852659437,2.3855781852659437,0.0,False
1.0,100.0,alpha,0.1,2.3855781852659437,2.3855781852659437,0.0,False
1.0,100.0,beta,-0.1,2.3855781852659437,2.432597410407005,0.047019225141061494,False
1.0,100.0,beta,0.1,2.3855781852659437,2.3442449079242516,-0.04133327734169212,False
1.0,1000.0,alpha,-0.1,2.223207576212036,2.223207576212036,0.0,False
1.0,1000.0,alpha,0.1,2.223207576212036,2.223207576212036,0.0,False
1.0,1000.0,beta,-0.1,2.223207576212036,2.26147754406471,0.038269967852674114,False
1.0,1000.0,beta,0.1,2.223207576212036,2.1916651817338004,-0.03154239447823537,False
1.0,10000.0,alpha,-0.1,2.1379703533931425,2.1379703533931425,0.0,False
1.0,10000.0,alpha,0.1,2.1379703533931425,2.1379703533931425,0.0,False
1.0,10000.0,beta,-0.1,2.1379703533931425,2.165667703678666,0.02769735028552356,False
1.0,10000.0,beta,0.1,2.1379703533931425,2.1165667461968365,-0.021403607196305963,False
1.0,36000.0,alpha,-0.1,2.109592034361413,2.109592034361413,0.0,False
1.0,36000.0,alpha,0.1,2.109592034361413,2.109592034361413,0.0,False
1.0,36000.0,beta,-0.1,2.109592034361413,2.1320533911833857,0.0224613568219727,False
1.0,36000.0,beta,0.1,2.109592034361413,2.092845881722676,-0.016746152638737133,False
10.0,0.1,alpha,-0.1,4.214296969625643,4.227472768122491,0.01317579849684769,False
10.0,0.1,alpha,0.1,4.214296969625643,4.202113267118426,-0.01218370250721712,False
10.0,0.1,beta,-0.1,4.214296969625643,4.066837481983243,-0.1474594876423998,False
10.0,0.1,beta,0.1,4.214296969625643,4.371572273671638,0.15727530404599488,False
10.0,1.0,alpha,-0.1,3.091912095256612,3.1050878937534594,0.013175798496847246,False
10.0,1.0,alpha,0.1,3.091912095256612,3.079728392749394,-0.012183702507218008,False
10.0,1.0,beta,-0.1,3.091912095256612,3.091912095256612,0.0,False
10.0,1.0,beta,0.1,3.091912095256612,3.091912095256612,0.0,False
10.0,10.0,alpha,-0.1,2.5027108218082503,2.5158866203050976,0.013175798496847246,False
10.0,10.0,alpha,0.1,2.5027108218082503,2.4905271193010328,-0.012183702507217564,False
10.0,10.0,beta,-0.1,2.5027108218082503,2.54605235560642,0.04334153379816952,False
10.0,10.0,beta,0.1,2.5027108218082503,2.462074306073747,-0.04063651573450322,False
10.0,100.0,alpha,-0.1,2.1934068133874915,2.206582611884339,0.013175798496847246,False
10.0,100.0,alpha,0.1,2.1934068133874915,2.181223110880274,-0.012183702507217564,False
10.0,100.0,beta,-0.1,2.1934068133874915,2.240426038528553,0.047019225141061494,False
10.0,100.0,beta,0.1,2.1934068133874915,2.152073536045799,-0.041333277341692565,False
10.0,1000.0,alpha,-0.1,2.0310362043335832,2.044212002830431,0.01317579849684769,False
10.0,1000.0,alpha,0.1,2.0310362043335832,2.0188525018263657,-0.012183702507217564,False
10.0,1000.0,beta,-0.1,2.0310362043335832,2.069306172186258,0.03826996785267456,False
10.0,1000.0,beta,0.1,2.0310362043335832,1.999493809855348,-0.03154239447823515,False
10.0,10000.0,alpha,-0.1,1.94579898151469,1.9589747800115376,0.013175798496847468,False
10.0,10000.0,alpha,0.1,1.94579898151469,1.9336152790074725,-0.012183702507217564,False
10.0,10000.0,beta,-0.1,1.94579898151469,1.9734963318002137,0.02769735028552356,False
10.0,10000.0,beta,0.1,1.94579898151469,1.9243953743183841,-0.021403607196305963,False
10.0,36000.0,alpha,-0.1,1.9174206624829608,1.9305964609798083,0.013175798496847468,False
10.0,36000.0,alpha,0.1,1.9174206624829608,1.9052369599757433,-0.012183702507217564,False
10.0,36000.0,beta,-0.1,1.9174206624829608,1.9398820193049333,0.022461356821972478,False
10.0,36000.0,beta,0.1,1.9174206624829608,1.9006745098442235,-0.016746152638737355,False
100.0,0.1,alpha,-0.1,4.126452968545447,4.1389890492691865,0.012536080723739573,False
100.0,0.1,alpha,0.1,4.126452968545447,4.115733667607547,-0.0107193009379003,False
100.0,0.1,beta,-0.1,4.126452968545447,3.978993480903047,-0.1474594876423998,False
100.0,0.1,beta,0.1,4.126452968545447,4.283728272591442,0.15727530404599488,False
100.0,1.0,alpha,-0.1,3.0040680941764153,3.016604174900155,0.012536080723739573,False
100.0,1.0,alpha,0.1,3.0040680941764153,2.993348793238516,-0.010719300937899412,False
100.0,1.0,beta,-0.1,3.0040680941764153,3.0040680941764153,0.0,False
100.0,1.0,beta,0.1,3.0040680941764153,3.0040680941764153,0.0,False
100.0,10.0,alpha,-0.1,2.414866820728054,2.427402901451793,0.01253608072373913,False
100.0,10.0,alpha,0.1,2.414866820728054,2.404147519790154,-0.010719300937899856,False
100.0,10.0,beta,-0.1,2.414866820728054,2.4582083545262234,0.04334153379816952,False
100.0,10.0,beta,0.1,2.414866820728054,2.3742303049935503,-0.040636515734503664,False
100.0,100.0,alpha,-0.1,2.105562812307295,2.1180988930310347,0.012536080723739573,False
100.0,100.0,alpha,0.1,2.105562812307295,2.0948435113693957,-0.010719300937899412,False
100.0,100.0,beta,-0.1,2.105562812307295,2.152582037448356,0.04701922514106105,False
100.0,100.0,beta,0.1,2.105562812307295,2.0642295349656026,-0.041333277341692565,False
100.0,1000.0,alpha,-0.1,1.943192203253387,1.9557282839771264,0.012536080723739351,False
100.0,1000.0,alpha,0.1,1.943192203253387,1.9324729023154874,-0.010719300937899634,False
100.0,1000.0,beta,-0.1,1.943192203253387,1.9814621711060614,0.038269967852674336,False
100.0,1000.0,beta,0.1,1.943192203253387,1.9116498087751517,-0.03154239447823537,False
100.0,10000.0,alpha,-0.1,1.8579549804344937,1.870491061158233,0.012536080723739351,False
100.0,10000.0,alpha,0.1,1.8579549804344937,1.847235679496594,-0.010719300937899634,False
100.0,10000.0,beta,-0.1,1.8579549804344937,1.8856523307200173,0.02769735028552356,False
100.0,10000.0,beta,0.1,1.8579549804344937,1.8365513732381877,-0.021403607196305963,False
100.0,36000.0,alpha,-0.1,1.8295766614027644,1.8421127421265038,0.012536080723739351,False
100.0,36000.0,alpha,0.1,1.8295766614027644,1.8188573604648648,-0.010719300937899634,False
100.0,36000.0,beta,-0.1,1.8295766614027644,1.852038018224737,0.022461356821972478,False
100.0,36000.0,beta,0.1,1.8295766614027644,1.812830508764027,-0.016746152638737355,False
1000.0,0.1,alpha,-0.1,4.086298347956808,4.095248478738879,0.008950130782071852,False
1000.0,0.1,alpha,0.1,4.086298347956808,4.079221556351733,-0.007076791605074462,False
1000.0,0.1,beta,-0.1,4.086298347956808,3.9388388603144078,-0.1474594876423998,False
1000.0,0.1,beta,0.1,4.086298347956808,4.2435736520028025,0.15727530404599488,False
1000.0,1.0,alpha,-0.1,2.963913473587776,2.9728636043698486,0.00895013078207274,False
1000.0,1.0,alpha,0.1,2.963913473587776,2.9568366819827014,-0.007076791605074462,False
1000.0,1.0,beta,-0.1,2.963913473587776,2.963913473587776,0.0,False
1000.0,1.0,beta,0.1,2.963913473587776,2.963913473587776,0.0,False
1000.0,10.0,alpha,-0.1,2.3747122001394145,2.383662330921487,0.008950130782072296,False
1000.0,10.0,alpha,0.1,2.3747122001394145,2.36763540853434,-0.007076791605074462,False
1000.0,10.0,beta,-0.1,2.3747122001394145,2.418053733937584,0.04334153379816952,False
1000.0,10.0,beta,0.1,2.3747122001394145,2.334075684404911,-0.040636515734503664,False
1000.0,100.0,alpha,-0.1,2.0654081917186558,2.0743583225007285,0.00895013078207274,False
1000.0,100.0,alpha,0.1,2.0654081917186558,2.0583314001135813,-0.007076791605074462,False
1000.0,100.0,beta,-0.1,2.0654081917186558,2.112427416859717,0.04701922514106105,False
1000.0,100.0,beta,0.1,2.0654081917186558,2.024074914376963,-0.041333277341692565,False
1000.0,1000.0,alpha,-0.1,1.9030375826647477,1.9119877134468202,0.008950130782072518,False
