model_a,model_b,domain,n,spearman,mean_abs_rank_gap_pp,conflict10_n,conflict20_n,conflict30_n,conflict20_rate,strong_n,top10_jaccard
GROUP_EQUAL,TOPSIS_CRITIC,github,203752,0.98905745392142808,3.0653743393013384,6461,342,60,0.0016785111311790806,0,0.78884986830553117
GROUP_EQUAL,TOPSIS_CRITIC,stackexchange,10000,0.99115937185159386,2.8511760000000002,205,1,0,0.0001,0,0.82815356489945158
GROUP_EQUAL,TOPSIS_CRITIC,wikipedia,10000,0.98831227521112275,3.1335820000000001,381,14,0,0.0014,0,0.85185185185185186
GROUP_EQUAL,TOPSIS_GROUP,ALL,261086,0.99542677929438195,1.9487044691996658,2203,1,0,3.8301555809196969e-06,0,0.8848541726826451
GROUP_EQUAL,TOPSIS_GROUP,arxiv,17523,0.99339723595263896,2.4410158072743902,172,0,0,0,0,0.76080402010050252
GROUP_EQUAL,TOPSIS_GROUP,book,171,0.99714642282861754,1.5252556342122363,1,0,0,0,0,0.78947368421052633
GROUP_EQUAL,TOPSIS_GROUP,c4,10000,0.99252819982928242,2.5136419999999999,161,0,0,0,0,0.77777777777777779
GROUP_EQUAL,TOPSIS_GROUP,commoncrawl,9640,0.99336952215512164,2.3738765689295986,111,1,0,0.00010373443983402489,0,0.79182156133828996
GROUP_EQUAL,TOPSIS_GROUP,github,203752,0.99518601848186683,2.0874246007747539,853,0,0,0,0,0.87313261319236957
GROUP_EQUAL,TOPSIS_GROUP,stackexchange,10000,0.99366414968464145,2.3587800000000003,106,0,0,0,0,0.83992640294388221
GROUP_EQUAL,TOPSIS_GROUP,wikipedia,10000,0.99445298459653009,2.3223780000000001,26,0,0,0,0,0.8779342723004695
GROUP_EQUAL,BPPGA20,ALL,261086,0.85331508344483964,11.236890386352732,108035,47568,15314,0.18219284067318814,1001,0.49463319689727225
GROUP_EQUAL,BPPGA20,arxiv,17523,0.69203881948514501,17.574970291448487,10704,6451,3534,0.36814472407692744,80,0.34355828220858897
GROUP_EQUAL,BPPGA20,book,171,0.76246190030479732,14.247118771587838,91,35,14,0.2046783625730994,3,0.25925925925925924
GROUP_EQUAL,BPPGA20,c4,10000,0.96084709958047076,5.9524259999999991,1934,254,22,0.025399999999999999,0,0.61943319838056676
GROUP_EQUAL,BPPGA20,commoncrawl,9640,0.94567734083093336,6.8172078648783589,2270,490,96,0.050829875518672199,2,0.61609388097233864
GROUP_EQUAL,BPPGA20,github,203752,0.81982671969924314,13.139563052966778,102660,50265,19363,0.24669696493776749,436,0.50981845127825121
GROUP_EQUAL,BPPGA20,stackexchange,10000,0.94386019567860202,7.0041279999999997,2446,507,101,0.050700000000000002,1,0.6992353440951572
GROUP_EQUAL,BPPGA20,wikipedia,10000,0.9259312517353131,8.0357760000000003,3032,861,160,0.086099999999999996,2,0.73160173160173159
GROUP_EQUAL,GEO_0.001,ALL,261086,0.9311190741809231,7.1435803725135658,64614,15444,4962,0.059152922791723801,147,0.87261968800430334
GROUP_EQUAL,GEO_0.001,arxiv,17523,0.97308586974999423,4.4506282119414298,2228,361,2,0.020601495177766365,0,0.91475409836065569
GROUP_EQUAL,GEO_0.001,book,171,0.77482660138718884,14.226599637495298,88,45,21,0.26315789473684209,0,0.54545454545454541
GROUP_EQUAL,GEO_0.001,c4,10000,0.98337965478579648,3.7338840000000002,546,58,8,0.0057999999999999996,0,0.8761726078799249
GROUP_EQUAL,GEO_0.001,commoncrawl,9640,0.98820508278561581,3.108972813828963,351,26,1,0.0026970954356846473,0,0.91459781529294937
GROUP_EQUAL,GEO_0.001,github,203752,0.92372402706909762,8.1714401919483972,62370,17143,5099,0.084136597432172444,0,0.73811047131584562
GROUP_EQUAL,GEO_0.001,stackexchange,10000,0.98567235173272316,3.4423539999999999,473,51,5,0.0051000000000000004,0,0.89753320683111959
GROUP_EQUAL,GEO_0.001,wikipedia,10000,0.98654016506540121,3.1888580000000002,481,38,2,0.0038,0,0.94741966893865626
GROUP_EQUAL,BPPGA15,ALL,261086,0.85475070383532703,11.167106901616972,107370,46951,15139,0.17982963467976068,996,0.4959177242386914
GROUP_EQUAL,BPPGA15,arxiv,17523,0.69184737296985221,17.582157916459469,10700,6460,3524,0.36865833476002968,79,0.3430433116136451
GROUP_EQUAL,BPPGA15,book,171,0.76335229318165432,14.206080503402758,90,35,14,0.2046783625730994,3,0.25925925925925924
GROUP_EQUAL,BPPGA15,c4,10000,0.96227493497874939,5.8559920000000005,1873,236,20,0.023599999999999999,0,0.62206001622060014
GROUP_EQUAL,BPPGA15,commoncrawl,9640,0.94955804093558294,6.5577641569532199,2116,435,85,0.045124481327800829,2,0.62426284751474304
GROUP_EQUAL,BPPGA15,github,203752,0.82122525342272834,13.081544647401978,102253,49894,19223,0.24487612391534808,416,0.51712583767684284
GROUP_EQUAL,BPPGA15,stackexchange,10000,0.94612602148126079,6.860614,2375,476,89,0.047600000000000003,1,0.70357751277683134
GROUP_EQUAL,BPPGA15,wikipedia,10000,0.93102797781427982,7.7249259999999991,2834,775,128,0.077499999999999999,2,0.74825174825174823
GROUP_EQUAL,BPPGA25,ALL,261086,0.853173342291357,11.242612895751957,108047,47626,15355,0.1824149896968815,1001,0.49467597893290588
GROUP_EQUAL,BPPGA25,arxiv,17523,0.69219444897346971,17.570203075548591,10699,6450,3532,0.36808765622324946,80,0.34355828220858897
GROUP_EQUAL,BPPGA25,book,171,0.76234670122639003,14.2607981943162,91,35,14,0.2046783625730994,3,0.25925925925925924
GROUP_EQUAL,BPPGA25,c4,10000,0.96078383161983849,5.9571559999999995,1940,254,23,0.025399999999999999,0,0.6181229773462783
GROUP_EQUAL,BPPGA25,commoncrawl,9640,0.94560986378373602,6.8219318710077301,2275,491,97,0.050933609958506224,2,0.61609388097233864
GROUP_EQUAL,BPPGA25,github,203752,0.81959185863375472,13.147899351200261,102696,50319,19411,0.24696199301111155,437,0.50948288635353389
GROUP_EQUAL,BPPGA25,stackexchange,10000,0.94372988443729899,7.0124100000000009,2451,507,102,0.050700000000000002,1,0.6992353440951572
GROUP_EQUAL,BPPGA25,wikipedia,10000,0.9258610699506109,8.0394820000000013,3033,863,160,0.086300000000000002,2,0.73160173160173159
GROUP_EQUAL,GEO_0.0001,ALL,261086,0.9308477192444613,7.1571035418426305,64787,15496,4988,0.059352090881931621,148,0.87248538745652093
GROUP_EQUAL,GEO_0.0001,arxiv,17523,0.97292009912032085,4.4637242145214726,2244,362,3,0.020658563031444387,0,0.91475409836065569
GROUP_EQUAL,GEO_0.0001,book,171,0.77450500395996813,14.233439348859481,88,45,21,0.26315789473684209,0,0.54545454545454541
GROUP_EQUAL,GEO_0.0001,c4,10000,0.98330773054107756,3.7416960000000001,549,61,8,0.0061000000000000004,0,0.8761726078799249
GROUP_EQUAL,GEO_0.0001,commoncrawl,9640,0.98816377228722629,3.11436399166681,353,27,1,0.0028008298755186722,0,0.91459781529294937
GROUP_EQUAL,GEO_0.0001,github,203752,0.92348359635149579,8.1847633289357766,62500,17222,5129,0.084524323687620251,0,0.73766577118246557
GROUP_EQUAL,GEO_0.0001,stackexchange,10000,0.98563137899231379,3.4473180000000001,473,51,5,0.0051000000000000004,0,0.89753320683111959
GROUP_EQUAL,GEO_0.0001,wikipedia,10000,0.98649541274495456,3.1941860000000002,482,38,2,0.0038,0,0.94552529182879375
GROUP_EQUAL,GEO_0.01,ALL,261086,0.93386061219764271,7.011105075040561,63043,14849,4605,0.056873980221076578,138,0.87423279853558733
GROUP_EQUAL,GEO_0.01,arxiv,17523,0.97449377774423174,4.3327785183767196,2133,324,2,0.018489984591679508,0,0.91475409836065569
GROUP_EQUAL,GEO_0.01,book,171,0.78845609235126124,13.932492048835538,88,43,22,0.25146198830409355,0,0.54545454545454541
GROUP_EQUAL,GEO_0.01,c4,10000,0.98402874772828708,3.6610800000000001,513,52,7,0.0051999999999999998,0,0.8761726078799249
GROUP_EQUAL,GEO_0.01,commoncrawl,9640,0.98860322754888963,3.0571658545823932,337,23,1,0.0023858921161825728,0,0.91459781529294937
GROUP_EQUAL,GEO_0.01,github,203752,0.92608199363225474,8.0398956390474794,61051,16519,4792,0.081074050806863251,0,0.74100657950952742
GROUP_EQUAL,GEO_0.01,stackexchange,10000,0.98607050366070492,3.3937180000000002,457,45,4,0.0044999999999999997,0,0.89753320683111959
GROUP_EQUAL,GEO_0.01,wikipedia,10000,0.98698493203784932,3.1356319999999998,467,33,2,0.0033,0,0.949317738791423
GROUP_CRITIC,TOPSIS_CRITIC,ALL,261086,0.97663756604647478,3.5914774978288619,13413,5187,3142,0.019867016998230468,0,0.8353015605229861
GROUP_CRITIC,TOPSIS_CRITIC,arxiv,17523,0.98897457497062968,3.1551986806920516,518,21,2,0.0011984249272384865,0,0.67575322812051652
GROUP_CRITIC,TOPSIS_CRITIC,book,171,0.97064823481412144,4.5347286344516258,14,5,2,0.029239766081871343,0,0.61904761904761907
GROUP_CRITIC,TOPSIS_CRITIC,c4,10000,0.98946565961465716,3.0727900000000004,267,1,0,0.0001,0,0.78253119429590012
GROUP_CRITIC,TOPSIS_CRITIC,commoncrawl,9640,0.98520374379301257,3.5608503641466229,554,20,0,0.0020746887966804979,0,0.74321880650994576
GROUP_CRITIC,TOPSIS_CRITIC,github,203752,0.98822409914068809,3.1334313147730297,7300,545,79,0.0026748203698614002,0,0.76590396949211303
GROUP_CRITIC,TOPSIS_CRITIC,stackexchange,10000,0.99335599599355962,2.4700160000000002,87,0,0,0,0,0.84501845018450183
GROUP_CRITIC,TOPSIS_CRITIC,wikipedia,10000,0.98481831994418367,3.503358,564,39,5,0.0038999999999999998,0,0.84162062615101285
GROUP_CRITIC,TOPSIS_GROUP,ALL,261086,0.99750358733247124,1.3925397250105107,111,0,0,0,0,0.90187937062937062
GROUP_CRITIC,TOPSIS_GROUP,arxiv,17523,0.99548075851234807,1.9788954850573623,67,0,0,0,0,0.80061664953751288
GROUP_CRITIC,TOPSIS_GROUP,book,171,0.99873041015671882,0.87548305461509524,0,0,0,0,0,0.78947368421052633
GROUP_CRITIC,TOPSIS_GROUP,c4,10000,0.99345454269454558,2.2995799999999997,108,0,0,0,0,0.81323662737987312
GROUP_CRITIC,TOPSIS_GROUP,commoncrawl,9640,0.99447903197776255,2.1098422892167834,68,0,0,0,0,0.82230623818525517
GROUP_CRITIC,TOPSIS_GROUP,github,203752,0.99704949664083342,1.4834888912791815,57,0,0,0,0,0.8571688998268161
GROUP_CRITIC,TOPSIS_GROUP,stackexchange,10000,0.99631929356719251,1.7412779999999999,35,0,0,0,0,0.86393289841565701
GROUP_CRITIC,TOPSIS_GROUP,wikipedia,10000,0.99607425864074284,1.8682860000000001,21,0,0,0,0,0.89035916824196593
GROUP_CRITIC,BPPGA20,ALL,261086,0.8460255790647796,11.464851439279315,108863,48574,17594,0.18604597718759336,1165,0.46844769403824521
GROUP_CRITIC,BPPGA20,arxiv,17523,0.68277557681347179,17.767557606819707,10747,6476,3591,0.36957142041887803,106,0.33080136726167869
GROUP_CRITIC,BPPGA20,book,171,0.7689634482924137,13.631544748811601,82,31,13,0.18128654970760233,3,0.21428571428571427
GROUP_CRITIC,BPPGA20,c4,10000,0.95552282114722831,6.3449360000000006,2154,335,35,0.033500000000000002,0,0.58478605388272586
GROUP_CRITIC,BPPGA20,commoncrawl,9640,0.94146934109324221,7.082029837640536,2391,543,119,0.05632780082987552,2,0.59999999999999998
GROUP_CRITIC,BPPGA20,github,203752,0.81465438326239581,13.313363715134331,103212,50567,20920,0.24817915897758058,448,0.49103549213318698
GROUP_CRITIC,BPPGA20,stackexchange,10000,0.94502849853028514,6.9728659999999989,2466,481,93,0.048099999999999997,1,0.69491525423728817
GROUP_CRITIC,BPPGA20,wikipedia,10000,0.91791644572716447,8.3620260000000002,3104,961,231,0.096100000000000005,4,0.70794192997438088
GROUP_CRITIC,GEO_0.001,ALL,261086,0.92680502042760959,7.5207545083764131,69216,18798,5747,0.071999264610128469,73,0.82516602586508214
GROUP_CRITIC,GEO_0.001,arxiv,17523,0.97370547532917628,4.4208394632099273,2129,339,6,0.019346002396849856,0,0.89713048186247968
GROUP_CRITIC,GEO_0.001,book,171,0.75907072743418047,14.855853082999896,94,46,24,0.26900584795321636,0,0.54545454545454541
GROUP_CRITIC,GEO_0.001,c4,10000,0.97764448354444466,4.4482300000000006,956,85,9,0.0085000000000000006,0,0.79856115107913672
GROUP_CRITIC,GEO_0.001,commoncrawl,9640,0.98058885945419882,4.0417563402833983,792,63,6,0.0065352697095435687,0,0.85206532180595584
GROUP_CRITIC,GEO_0.001,github,203752,0.91367713469852996,8.6142132242963534,65606,20253,6586,0.099400251285876942,12,0.69954539767276969
GROUP_CRITIC,GEO_0.001,stackexchange,10000,0.98103864255038675,4.052854,729,67,10,0.0067000000000000002,0,0.85013876040703051
GROUP_CRITIC,GEO_0.001,wikipedia,10000,0.98112430978324339,3.9055440000000003,835,67,4,0.0067000000000000002,0,0.91570881226053635
GROUP_CRITIC,BPPGA15,ALL,261086,0.84695505774635282,11.417128078642625,108230,48080,17505,0.18415388033061902,1160,0.46960486322188449
GROUP_CRITIC,BPPGA15,arxiv,17523,0.68244715327737482,17.77767694910975,10749,6477,3593,0.36962848827255607,106,0.33029612756264237
GROUP_CRITIC,BPPGA15,book,171,0.76982024143806838,13.590506480626519,84,30,14,0.17543859649122806,3,0.21428571428571427
GROUP_CRITIC,BPPGA15,c4,10000,0.95663041481030442,6.2780659999999999,2096,322,34,0.032199999999999999,0,0.58478605388272586
GROUP_CRITIC,BPPGA15,commoncrawl,9640,0.94471441161242886,6.880681720356054,2295,495,109,0.051348547717842322,2,0.60800667222685567
GROUP_CRITIC,BPPGA15,github,203752,0.81535812001475716,13.279229841082469,102999,50293,20849,0.24683438690172366,438,0.49700598802395207
GROUP_CRITIC,BPPGA15,stackexchange,10000,0.94692886641728891,6.852252,2394,455,85,0.045499999999999999,1,0.6992353440951572
GROUP_CRITIC,BPPGA15,wikipedia,10000,0.92279853213598573,8.0834039999999998,2980,882,195,0.088200000000000001,4,0.72413793103448276
GROUP_CRITIC,BPPGA25,ALL,261086,0.84589307013759674,11.470064705782791,108904,48629,17641,0.18625663574454393,1165,0.46853028854266271
GROUP_CRITIC,BPPGA25,arxiv,17523,0.68292470910507008,17.763004684406773,10743,6472,3589,0.36934314900416593,106,0.33080136726167869
GROUP_CRITIC,BPPGA25,book,171,0.76882184942520448,13.645224171539962,82,31,13,0.18128654970760233,3,0.21428571428571427
GROUP_CRITIC,BPPGA25,c4,10000,0.95546959971869605,6.3486320000000003,2157,338,35,0.033799999999999997,0,0.58353127474267619
GROUP_CRITIC,BPPGA25,commoncrawl,9640,0.94141013403283336,7.0860371722249971,2393,544,118,0.056431535269709544,2,0.59999999999999998
GROUP_CRITIC,BPPGA25,github,203752,0.81443634353520034,13.320961299878968,103247,50633,20977,0.24850308217833444,447,0.49070822358794264
GROUP_CRITIC,BPPGA25,stackexchange,10000,0.94489609315696121,6.9817140000000002,2470,480,93,0.048000000000000001,1,0.69491525423728817
GROUP_CRITIC,BPPGA25,wikipedia,10000,0.91783413374234157,8.3661499999999993,3105,962,234,0.096199999999999994,5,0.70794192997438088
GROUP_CRITIC,GEO_0.0001,ALL,261086,0.92653657492646535,7.533882673748387,69369,18874,5782,0.072290356434278363,73,0.82503844540752136
GROUP_CRITIC,GEO_0.0001,arxiv,17523,0.97354207742160781,4.4340865785224146,2141,340,6,0.019403070250527878,0,0.89713048186247968
GROUP_CRITIC,GEO_0.0001,book,171,0.75878032975736176,14.862692794364076,93,46,24,0.26900584795321636,0,0.54545454545454541
