donor,receiver,model_epsilon_count,median_delta_scalar_loss_z,min_delta_scalar_loss_z,max_delta_scalar_loss_z,improving_fraction,sign_consistent
train_the_pile_pubmed_abstracts,train_the_pile_dm_mathematics,6,-2.8216875116310325e-05,-0.002887285636729242,0.001730855097250017,0.5,False
train_the_pile_pubmed_abstracts,train_the_pile_enron_emails,6,0.40598893142607795,0.21221588813181114,0.7649056006341348,0.0,True
train_the_pile_pubmed_abstracts,train_the_pile_europarl,6,0.13840602590648857,0.04449067963830289,0.2229617427607985,0.0,True
train_the_pile_pubmed_abstracts,train_the_pile_freelaw,6,0.001328977814728488,0.00021965093445425188,0.007487616464460389,0.0,True
train_the_pile_pubmed_abstracts,train_the_pile_github,6,0.004958564767543749,-0.006217241479816282,0.006306674794447631,0.3333333333333333,False
train_the_pile_pubmed_abstracts,train_the_pile_gutenberg_pg_19,6,-0.0038796492975033403,-0.012873182001314598,0.009463420598745054,0.8333333333333334,False
train_the_pile_pubmed_abstracts,train_the_pile_hackernews,6,-0.0014438000841477672,-0.016687528799848916,0.0013536029122566684,0.6666666666666666,False
train_the_pile_pubmed_abstracts,train_the_pile_nih_exporter,6,0.02082441441899746,-0.029359760912514576,0.0699754583671564,0.3333333333333333,False
train_the_pile_pubmed_abstracts,train_the_pile_philpapers,6,-0.003975828304347201,-0.030270645876751212,0.018290116956944713,0.5,False
train_the_pile_pubmed_abstracts,train_the_pile_pile_cc,6,-0.0017296409919749234,-0.007051836668441502,4.2068584683807586e-05,0.8333333333333334,False
train_the_pile_pubmed_abstracts,train_the_pile_pubmed_central,6,0.0002698985036474755,-0.0061565192865182805,0.0014727714018836768,0.5,False
train_the_pile_pubmed_abstracts,train_the_pile_stackexchange,6,-0.0009717563723728728,-0.00349755449677136,0.0015626016472131132,0.8333333333333334,False
train_the_pile_pubmed_abstracts,train_the_pile_ubuntu_irc,6,-0.02471773512343911,-0.03350176067196381,0.007727999035706978,0.8333333333333334,False
train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,6,0.0003645319526630053,-0.0013424103978806334,0.005388907627960182,0.3333333333333333,False
train_the_pile_pubmed_abstracts,train_the_pile_wikipedia_en,6,-9.33747958943576e-05,-0.0002802394712145828,0.0060761017335331236,0.6666666666666666,False
train_the_pile_pubmed_central,train_the_pile_arxiv,6,-0.09046650102384104,-0.2904467363215071,0.038902587530912414,0.5,False
train_the_pile_pubmed_central,train_the_pile_dm_mathematics,6,-3.4534684691667206e-05,-0.0022232830641605306,0.01155423709712644,0.5,False
train_the_pile_pubmed_central,train_the_pile_enron_emails,6,0.4036468694925222,0.21062556260669357,0.7659415374672702,0.0,True
train_the_pile_pubmed_central,train_the_pile_europarl,6,0.13964456203434028,0.0429003541131851,0.23323524436370457,0.0,True
train_the_pile_pubmed_central,train_the_pile_freelaw,6,0.0012761799336092339,-0.0013706745906635898,0.017447334923071045,0.3333333333333333,False
train_the_pile_pubmed_central,train_the_pile_github,6,0.004537554622501105,0.0021254459119484093,0.006621833510576436,0.0,True
train_the_pile_pubmed_central,train_the_pile_gutenberg_pg_19,6,-0.003856499317682366,-0.013031806604381191,0.01921756877980907,0.6666666666666666,False
train_the_pile_pubmed_central,train_the_pile_hackernews,6,-0.0017220272157653649,-0.006622514949276459,0.0011949783091901867,0.8333333333333334,False
train_the_pile_pubmed_central,train_the_pile_nih_exporter,6,0.019223883443360096,-0.029155666735835695,0.06981683376408993,0.3333333333333333,False
train_the_pile_pubmed_central,train_the_pile_philpapers,6,-0.004607297321264053,-0.020985152984415167,0.018131492353878342,0.5,False
train_the_pile_pubmed_central,train_the_pile_pile_cc,6,-0.0022490346135822237,-0.007210461271508095,0.010130353290620286,0.6666666666666666,False
train_the_pile_pubmed_central,train_the_pile_pubmed_abstracts,6,7.071820877066481e-05,-0.001553132143107483,0.010370045348850221,0.3333333333333333,False
