indicator,parent_field,method,direction_status,fit_count,output_min,output_p05,output_median,output_p95,output_max,saturation_at_boundary_rate,spearman_with_primary,selected_primary
dsir_wiki,dsir_wiki,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
dsir_wiki,dsir_wiki,robust_z_logistic,confirmed,40919,6.305116760146985e-16,0.0011309622929438436,0.5,0.7282055421430923,0.7700788250059305,0.0,0.9999994269533534,False
dsir_math,dsir_math,min_max,confirmed,40919,0.0,0.969973645819993,0.9951859793934494,0.9991117402437153,1.0,4.8877049781275205e-05,0.9999989940551528,False
dsir_math,dsir_math,quantile_01_99,confirmed,40919,0.0,0.7174987169905199,0.9582687660486614,0.9957585775234775,1.0,0.020039590410322834,1.0,True
dsir_math,dsir_math,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
dsir_math,dsir_math,robust_z_logistic,confirmed,40919,6.305116760146985e-16,0.0018644044323940135,0.5,0.7267717695205952,0.7684644005626273,0.0,0.9999991376966626,False
qurater_writing_style,qurater,min_max,confirmed,40919,0.0,0.19510537049626106,0.3553138454566055,0.6721164740539315,1.0,4.8877049781275205e-05,0.9999989866953363,False
qurater_writing_style,qurater,quantile_01_99,confirmed,40919,0.0,0.08464829881920982,0.33716453200562896,0.8365002035845159,1.0,0.02008846746010411,0.9999999999999998,True
qurater_writing_style,qurater,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.05029325513196481,0.5000488758553274,0.9499828934506352,0.9999755620723363,0.0,0.9999989866953363,False
qurater_writing_style,qurater,robust_z_logistic,confirmed,40919,0.08289556450750825,0.25279059495724493,0.5,0.8950239003803331,0.9873977295400863,0.0,0.9999989866953363,False
qurater_required_expertise,qurater,min_max,pending_verification,40919,0.0,0.2558745941558442,0.46773538961038963,0.711262175324675,1.0,4.8877049781275205e-05,0.9999989904076572,False
qurater_required_expertise,qurater,quantile_01_99,pending_verification,40919,0.0,0.12404981258976429,0.42882497869011343,0.7791536763933159,1.0,0.02006402893521347,1.0,True
qurater_required_expertise,qurater,rank_ecdf,pending_verification,40919,2.4437927663734115e-05,0.05008797653958945,0.5000488758553274,0.9499780058651025,0.9999755620723363,0.0,0.9999989904076572,False
qurater_required_expertise,qurater,robust_z_logistic,pending_verification,40919,0.02982951212435916,0.1711980301255321,0.5,0.8597110488634281,0.9813365787159969,0.0,0.9999989904076572,False
qurater_facts_trivia,qurater,min_max,confirmed,40919,0.0,0.2382297551789077,0.42524213075060535,0.7031342480495021,1.0,4.8877049781275205e-05,0.9999989904047583,False
qurater_facts_trivia,qurater,quantile_01_99,confirmed,40919,0.0,0.09971245710045451,0.39278908180216043,0.8282879813813862,1.0,0.02006402893521347,1.0000000000000002,True
qurater_facts_trivia,qurater,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.05004887585532747,0.5000488758553274,0.9499902248289342,0.9999755620723363,0.0,0.9999989904047583,False
qurater_facts_trivia,qurater,robust_z_logistic,confirmed,40919,0.04652331666431801,0.2094568920027553,0.5,0.8780025907907665,0.9834071995142538,0.0,0.9999989904047583,False
qurater_educational_value,qurater,min_max,confirmed,40919,0.0,0.2196367763904654,0.42778093076049944,0.6963677639046539,1.0,4.8877049781275205e-05,0.9999989792253796,False
qurater_educational_value,qurater,quantile_01_99,confirmed,40919,0.0,0.10739265794000868,0.4348655582739552,0.857432838663976,1.0,0.020137344509885382,1.0,True
qurater_educational_value,qurater,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.05004887585532747,0.5000733137829912,0.95,0.9999755620723363,0.0,0.9999989792253796,False
qurater_educational_value,qurater,robust_z_logistic,confirmed,40919,0.05518963903182954,0.2006956130215854,0.5,0.8560984008856607,0.9781014220263662,0.0,0.9999989792253796,False
ad_en_no_ad_margin,ad_en,min_max,confirmed,40919,0.0,0.43956496853974586,0.7843259406927485,0.9507849489160229,1.0,4.8877049781275205e-05,0.9999989941164629,False
ad_en_no_ad_margin,ad_en,quantile_01_99,confirmed,40919,0.0,0.27678951144201713,0.7446924360767232,0.9706073831574995,1.0,0.020039590410322834,0.9999999999999998,True
ad_en_no_ad_margin,ad_en,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5003176930596286,0.9502199413489736,0.9999755620723363,0.0,0.9999989941164629,False
ad_en_no_ad_margin,ad_en,robust_z_logistic,confirmed,40919,0.00796336545228418,0.10708647265471553,0.5,0.7357509420132189,0.7903031985349478,0.0,0.9999989941164629,False
rps_doc_word_count,rps_doc_word_count,min_max,pending_verification,40919,0.0,7.722254472250477e-05,0.0006737001315446107,0.007195277175678623,1.0,0.0002688237737970136,0.9999987952491166,False
rps_doc_word_count,rps_doc_word_count,quantile_01_99,pending_verification,40919,0.0,0.0018973020365040923,0.02426549446686813,0.26882772697224544,1.0,0.021261516654854713,1.0000000000000002,True
rps_doc_word_count,rps_doc_word_count,rank_ecdf,pending_verification,40919,0.00024437927663734115,0.05056207233626588,0.5009042033235581,0.9499780058651025,0.9999755620723363,0.0,0.9999987952491166,False
rps_doc_word_count,rps_doc_word_count,robust_z_logistic,pending_verification,40919,0.27605753617019146,0.2986797238935825,0.5,0.9999115284687253,0.9999999999999993,0.0,0.9999991227877613,False
rps_doc_num_sentences,rps_doc_num_sentences,min_max,pending_verification,40919,0.0,7.975435658172828e-05,0.0007576663875264187,0.00877297922399011,1.0,0.02109044698062025,0.9999994968108137,False
rps_doc_num_sentences,rps_doc_num_sentences,quantile_01_99,pending_verification,40919,0.0,0.0026496383243687248,0.025171564081502885,0.29146021568055974,1.0,0.031085803660891028,1.0,True
rps_doc_num_sentences,rps_doc_num_sentences,rank_ecdf,pending_verification,40919,0.021065493646138807,0.0729960899315738,0.5068670576735093,0.9500733137829913,0.9999755620723363,0.0,0.9999994968108137,False
rps_doc_num_sentences,rps_doc_num_sentences,robust_z_logistic,pending_verification,40919,0.2859001210256002,0.3059707720409989,0.5,0.9999377170269024,0.9999999999999993,0.0,0.9999999347759952,False
rps_doc_unigram_entropy,rps_doc_unigram_entropy,min_max,pending_verification,40919,0.0,0.40569076342806587,0.6191775974256989,0.7849741263691576,1.0,0.0002688237737970136,0.999998995981253,False
rps_doc_unigram_entropy,rps_doc_unigram_entropy,quantile_01_99,pending_verification,40919,0.0,0.20865768248555558,0.5885982261046429,0.883664774974977,1.0,0.020039590410322834,0.9999999999999998,True
rps_doc_unigram_entropy,rps_doc_unigram_entropy,rank_ecdf,pending_verification,40919,0.00024437927663734115,0.05012218963831867,0.5,0.9499780058651025,0.9999755620723363,0.0,0.999998995981253,False
rps_doc_unigram_entropy,rps_doc_unigram_entropy,robust_z_logistic,pending_verification,40919,0.003184553404885485,0.12118498460096401,0.5,0.8232710417904494,0.9716455606172827,0.0,0.999998995981253,False
rps_doc_frac_unique_words,rps_doc_frac_unique_words,min_max,confirmed,40919,0.0,0.25076436348567416,0.5330934081424096,0.8300626474881647,1.0,0.010215303404286518,0.9999994970267978,False
rps_doc_frac_unique_words,rps_doc_frac_unique_words,quantile_01_99,confirmed,40919,0.0,0.1406290419362572,0.4644595830523308,0.8050823822017714,1.0,0.020210660084557297,1.0000000000000002,True
rps_doc_frac_unique_words,rps_doc_frac_unique_words,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9500244379276638,0.9999755620723363,0.0,0.9999994970267978,False
rps_doc_frac_unique_words,rps_doc_frac_unique_words,robust_z_logistic,confirmed,40919,0.0344742093055104,0.14617910014465357,0.5,0.8648776420871952,0.948763909483752,0.0,0.9999994970267978,False
rps_doc_frac_no_alph_words,rps_doc_frac_no_alph_words,min_max,confirmed,40919,0.0,0.5562075017706245,0.82198563339465,0.8791636590973162,1.0,0.008968938634863999,0.9999993518531063,False
rps_doc_frac_no_alph_words,rps_doc_frac_no_alph_words,quantile_01_99,confirmed,40919,0.0,0.6205754594151479,0.9178066614753437,0.9817513254218637,1.0,0.020039590410322834,0.9999999999999998,True
rps_doc_frac_no_alph_words,rps_doc_frac_no_alph_words,rank_ecdf,confirmed,40919,0.008944281524926686,0.050021994134897364,0.5000244379276637,0.9499780058651025,0.9999755620723363,0.0,0.9999993518531063,False
rps_doc_frac_no_alph_words,rps_doc_frac_no_alph_words,robust_z_logistic,confirmed,40919,1.9493822714875633e-06,0.014046585340658795,0.5,0.7139376590843782,0.9451847789893274,0.0,0.9999993518531063,False
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_2gram,min_max,confirmed,40919,0.0,0.9169377011393214,0.9831816006439121,1.0,1.0,0.08257777560546445,0.9999994894480417,False
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_2gram,quantile_01_99,confirmed,40919,0.0,0.4655004859086492,0.8917748917748918,1.0,1.0,0.09262200933551651,1.0,True
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_2gram,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.05004887585532747,0.5003421309872923,0.9999755620723363,0.9999755620723363,0.0,0.9999994878687157,False
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_2gram,robust_z_logistic,confirmed,40919,6.305116760146985e-16,0.010887315116001127,0.5,0.7585644702038155,0.7585644702038155,0.0,0.9999994878688909,False
rps_doc_frac_chars_top_3gram,rps_doc_frac_chars_top_3gram,min_max,confirmed,40919,0.0,0.9504168670835338,0.9913804156353826,1.0,1.0,0.22725384295803905,0.9999994917476203,False
rps_doc_frac_chars_top_3gram,rps_doc_frac_chars_top_3gram,quantile_01_99,confirmed,40919,0.0,0.5035254637775879,0.9136923405573621,1.0,1.0,0.23724919963830984,1.0000000000000002,True
rps_doc_frac_chars_top_3gram,rps_doc_frac_chars_top_3gram,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.05373900293255132,0.5000244379276637,0.9999755620723363,0.9999755620723363,0.0,0.9999994917476203,False
rps_doc_frac_chars_top_3gram,rps_doc_frac_chars_top_3gram,robust_z_logistic,confirmed,40919,6.305116760146985e-16,0.030055647309993425,0.5,0.6750338007083432,0.6750338007083432,0.0,0.9999994917480637,False
rps_lines_uppercase_letter_fraction,rps_lines_uppercase_letter_fraction,min_max,pending_verification,40919,0.0,0.02664304471079835,0.2211965274897951,0.5494569819203201,1.0,0.0011241721449693296,0.9999989947202343,False
rps_lines_uppercase_letter_fraction,rps_lines_uppercase_letter_fraction,quantile_01_99,pending_verification,40919,0.0,0.020521222292544192,0.3296982515221885,0.85135733808653,1.0,0.020039590410322834,1.0,True
rps_lines_uppercase_letter_fraction,rps_lines_uppercase_letter_fraction,rank_ecdf,pending_verification,40919,0.0010997067448680353,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989947202343,False
rps_lines_uppercase_letter_fraction,rps_lines_uppercase_letter_fraction,robust_z_logistic,pending_verification,40919,0.27153826014604265,0.29567719542209164,0.5,0.8122169560234345,0.9699535612030455,0.0,0.9999989947202343,False
rps_lines_ending_with_terminal_punctution_mark,rps_lines_ending_with_terminal_punctution_mark,min_max,confirmed,40919,0.0,0.125,0.5,1.0,1.0,0.21786944940003422,0.9999999029420095,False
rps_lines_ending_with_terminal_punctution_mark,rps_lines_ending_with_terminal_punctution_mark,quantile_01_99,confirmed,40919,0.0,0.12143089783953967,0.49796051305116557,1.0,1.0,0.21855372809697207,1.0,True
rps_lines_ending_with_terminal_punctution_mark,rps_lines_ending_with_terminal_punctution_mark,rank_ecdf,confirmed,40919,0.009335288367546431,0.05102639296187683,0.5175464320625611,0.9999755620723363,0.9999755620723363,0.0,0.9999999029420095,False
rps_lines_ending_with_terminal_punctution_mark,rps_lines_ending_with_terminal_punctution_mark,robust_z_logistic,confirmed,40919,0.19767881771075754,0.25910048149399256,0.5,0.8023211822892424,0.8023211822892425,0.0,0.9999999029420095,False
rps_lines_numerical_chars_fraction,rps_lines_numerical_chars_fraction,min_max,pending_verification,40919,0.0,0.0,0.01659046869949143,0.12394391936500637,1.0,0.1459713091717784,0.9999994954211778,False
rps_lines_numerical_chars_fraction,rps_lines_numerical_chars_fraction,quantile_01_99,pending_verification,40919,0.0,0.0,0.06217689992919054,0.46451060610637834,1.0,0.15596666585204916,0.9999999999999998,True
rps_lines_numerical_chars_fraction,rps_lines_numerical_chars_fraction,rank_ecdf,pending_verification,40919,0.14594330400782013,0.14594330400782013,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999994954547354,False
rps_lines_numerical_chars_fraction,rps_lines_numerical_chars_fraction,robust_z_logistic,pending_verification,40919,0.32609044906779533,0.32609044906779533,0.5,0.9909624050137277,0.9999999999999993,0.0,0.9999994953267859,False
rps_doc_mean_word_length,rps_doc_mean_word_length,min_max,pending_verification,40919,0.0,0.028906822020880327,0.04191591816646346,0.11802123967016373,1.0,4.8877049781275205e-05,0.9999989940594057,False
rps_doc_mean_word_length,rps_doc_mean_word_length,quantile_01_99,pending_verification,40919,0.0,0.024964369345794695,0.10811643901425536,0.5945695272993228,1.0,0.020039590410322834,1.0000000000000002,True
rps_doc_mean_word_length,rps_doc_mean_word_length,rank_ecdf,pending_verification,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940594057,False
rps_doc_mean_word_length,rps_doc_mean_word_length,robust_z_logistic,pending_verification,40919,0.029589261376452358,0.25288997644575356,0.5,0.9982339361909599,0.9999999999999993,0.0,0.9999989940618578,False
