block,dataset,role,target,delta_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only,delta_mean_residual_vs_p_only,target_label
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,4.682367538583549,-0.0242657643350754,-0.0216788793307287,0.0242657643350754,PubMed abs.
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,2.812092373053588,-0.0163623131338934,-0.0145173402360487,0.0163623131338934,USPTO
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_arxiv_val_loss,0.00812832359135,-0.0055778569241221,-0.0088121744259539,-3.1051550219984847e-16,ArXiv
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_freelaw_val_loss,0.0099976271407724,-0.0075415206824334,-0.0104687962127479,-1.52655665885959e-16,FreeLaw
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_central_val_loss,0.017245347934497,-0.0132018117838604,-0.0170556235398081,1.5612511283791264e-17,PubMed C.
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_wikipedia_en_val_loss,0.0177802983812236,-0.0078598923516444,-0.0102647990953335,-4.874572967494828e-16,Wikipedia
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_dm_mathematics_val_loss,0.0049565161415856,-0.0058705634128054,-0.0089193930342348,-1.500535806719938e-16,DM Math
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_github_val_loss,0.0335463841469804,-0.027087124250085,-0.0374731364380601,-5.898059818321144e-17,GitHub
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_stackexchange_val_loss,0.0273528718385519,-0.0120020635418259,-0.0215733011143431,1.6653345369377348e-16,StackEx.
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_gutenberg_pg_19_val_loss,0.0085793301633054,-0.0013354735983805,-0.0033183576108297,-1.9428902930940242e-16,Gutenberg
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pile_cc_val_loss,0.036273098825845,-0.0081151604062885,-0.0106788959043036,-4.614364446098307e-16,Pile-CC
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_ubuntu_irc_val_loss,0.0083180855393806,-0.0072135692034608,-0.0096515017284095,7.112366251504909e-17,Ubuntu IRC
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_hackernews_val_loss,0.0195675665068031,-0.0027801786509491,-0.0057653590721282,-2.411265631607762e-16,HackerNews
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_pubmed_abstracts_val_loss,0.0759733506976584,-0.0345838014272721,-0.0395160038316549,-1.708702623837155e-16,PubMed abs.
p_q_renorm_coverage,A4_A5_train_1m,fit,metric/the_pile_uspto_backgrounds_val_loss,0.0298464422302024,-0.0155415028570748,-0.0181325231698578,-1.3877787807814454e-16,USPTO
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_arxiv_val_loss,-0.0002807333955511,-0.0009999887822206,0.0002207847129083,0.0048103699397799,ArXiv
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_freelaw_val_loss,0.0108786192350958,-0.0081171838651987,-0.0099340595849838,0.0039826073727314,FreeLaw
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_central_val_loss,0.0115048650099283,-0.0061027394130726,-0.0130599899384322,0.0082098427972316,PubMed C.
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_wikipedia_en_val_loss,0.0115485496780243,-0.005116923155843,-0.0071076310210521,-0.0005081426619861,Wikipedia
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_dm_mathematics_val_loss,0.0008620813900253,-0.0064266784743485,-0.0016989165939856,0.0125842009616078,DM Math
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_github_val_loss,0.0367154399457519,-0.039901348865831,-0.0344971911892936,0.0174076474142889,GitHub
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_stackexchange_val_loss,0.0215782208258228,-0.0172236502699221,-0.013347303743239,0.0089381546971056,StackEx.
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_gutenberg_pg_19_val_loss,0.0033255620458996,-0.0018657425234231,-0.0014026747241613,0.0016620000026675,Gutenberg
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pile_cc_val_loss,0.0263012916669401,-0.0076218468146371,-0.0076511227538485,-0.0015759972084717,Pile-CC
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_ubuntu_irc_val_loss,0.0043086817653388,-0.0051957483373499,-0.0050969123744521,0.0093821317944186,Ubuntu IRC
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_hackernews_val_loss,0.0039847124042764,-0.0024336959606895,-0.0011853158978692,0.0010388640009448,HackerNews
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_pubmed_abstracts_val_loss,0.0561973884719341,-0.0224100996790428,-0.0303987919162711,0.0068137811017761,PubMed abs.
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,metric/the_pile_uspto_backgrounds_val_loss,0.0245356676150545,-0.0116718351407842,-0.0153175306984915,0.0039941093273033,USPTO
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,0.0470163659852378,-0.0048103699397799,-0.0043639973702398,0.0048103699397799,ArXiv
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,0.0397867655639476,-0.0039826073727313,-0.0058947536363387,0.0039826073727313,FreeLaw
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,0.0845142291521678,-0.0082098427972314,-0.0076880719345728,0.0082098427972314,PubMed C.
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.0020158621420529,0.0005081426619861,-0.0001797168123074,-0.0005081426619861,Wikipedia
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,0.0294639416309943,-0.0080878060234614,-0.0055818518973165,0.0125842009616077,DM Math
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_github_val_loss,0.2388091326151773,-0.0174076474142887,-0.0220568002021646,0.0174076474142887,GitHub
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,0.1340212834938654,-0.0089381546971054,-0.0121288493585212,0.0089381546971054,StackEx.
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.0269698371370168,-0.0016620000026674,-0.0019556121543931,0.0016620000026674,Gutenberg
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,-0.0125911582745494,0.0015759972084716,0.00055957045195,-0.0015759972084716,Pile-CC
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,0.0735498957887799,-0.0093821317944184,-0.0087754302357621,0.0093821317944184,Ubuntu IRC
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,0.0219183888511569,-0.0010388640009448,-0.0010140874862927,0.0010388640009448,HackerNews
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,0.1172486037128699,-0.0068137811017763,-0.0123701059065621,0.0068137811017763,PubMed abs.
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,0.0757205717753812,-0.0039941093273032,-0.004973241834054,0.0039941093273032,USPTO
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_arxiv_val_loss,-0.1661054588150818,0.0008369582962739,0.0003675298334924,-0.0008369582962739,ArXiv
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_freelaw_val_loss,-1.5322234509469013,0.0049103114396897,0.004944894241853,-0.0049103114396897,FreeLaw
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_central_val_loss,-33.76806543289422,0.016235032799277,0.0165948500320216,-0.016235032799277,PubMed C.
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_wikipedia_en_val_loss,2.276811838145761,-0.0099751481813972,-0.0091952953201586,0.0099751481813972,Wikipedia
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_dm_mathematics_val_loss,-1.6441046486112896,0.0275656341559531,0.0253380984944824,-0.0275656341559531,DM Math
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_github_val_loss,-22.5870091092454,0.0409030644588375,0.0432166682552956,-0.0409030644588375,GitHub
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_stackexchange_val_loss,-5.850836986432114,0.0153389551460554,0.0157471663321362,-0.0153389551460554,StackEx.
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.0405779489176154,-0.0007034794718872,-0.0004408810962299,0.0007034794718872,Gutenberg
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pile_cc_val_loss,5.841195985124159,-0.0115247835420744,-0.0112971162059376,0.0115247835420744,Pile-CC
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_ubuntu_irc_val_loss,-0.7979855339531241,0.0161968662167701,0.0160914660863404,-0.0161968662167701,Ubuntu IRC
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_hackernews_val_loss,0.4107583230333773,-0.0033013058930948,-0.0033280199617942,0.0033013058930948,HackerNews
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,-4.949849760990901,0.0117877715863086,0.0112269925704699,-0.0117877715863086,PubMed abs.
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,-1.844236150689028,0.0064330693695846,0.0067165232448034,-0.0064330693695846,USPTO
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.6651320943790751,-0.0084910025514752,-0.0092603871065044,0.0084910025514752,ArXiv
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,0.6312919893141355,-0.010778077070491,-0.0086008836632425,0.010778077070491,FreeLaw
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,1.613358972556142,-0.0150432385401448,-0.0144974291291286,0.0150432385401448,PubMed C.
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.6992893999508283,-0.0061410841189442,-0.0048157351540973,0.0061410841189442,Wikipedia
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,0.3862785807584572,-0.0129207873218453,-0.0122178290826702,0.011405598677816,DM Math
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_github_val_loss,0.4286520516724579,0.0011693665142686,-0.004430713035775,-0.0011693665142686,GitHub
