base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
ilr_ridge,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.3511162106913941,0.2960453232319346,-0.2739752933184398,-12.345084414335377,-0.518481182795699,0.6241778393121736,0.5191973316614439,0.6727491538045779,-5.357619902064182,0.6977767484294162
ilr_ridge,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.2328758302719263,0.1971949035434295,0.0367035919831105,-3.998909968417012,-0.5702284946236559,0.6014850819890054,0.5041015355589488,0.6747066047392326,-7.121275064124424,0.6344811766919685
ilr_ridge,C1_domain,A4_A5_train_1m,base_fit,512,0.2799847733345418,0.2171672767358156,9.020562075079396e-17,0.2554300081251269,0.5248580033130771,0.3572818056519283,0.2759852629362356,0.3822371939016146,0.7534682337190024,0.8830041273714669
ilr_ridge,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2495352308819614,0.2035159661986318,-0.0569176039594193,0.1925335531909939,0.4716890306706339,0.326458788552431,0.2626453548842908,0.3464429770513587,0.7648632501349787,0.8897807102487807
ilr_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.2127730740304239,0.1702301952873879,-0.0569176039594192,0.0550209662121572,0.426028553444724,0.340768225444006,0.2714759084907839,0.3733642529034672,0.6026357008723707,0.885947761325422
ilr_ridge,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.5021320816747792,0.4931923945108994,-0.4931923945108994,-92.46036886567563,0.6658882783882784,0.6878406370009776,0.6446125019672883,0.7587869972583833,-18.958945229928265,0.8610911524373062
ilr_ridge,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.351116210691394,0.2960453232319346,-0.2739752933184398,-12.34508441433537,-0.518481182795699,0.9440499824060335,0.8550506508433267,1.048542294355449,-20.122364769764054,0.6977767484294162
ilr_ridge,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.2328758302719263,0.1971949035434295,0.0367035919831106,-3.9989099684170135,-0.5702284946236559,1.0294808977058645,0.9145735562261564,1.1909146446912464,-32.7756728636904,0.6344811766919685
ilr_ridge,C2_mixture_conditioned,A4_A5_train_1m,base_fit,512,0.2799847733345418,0.2171672767358156,9.020562075079396e-17,0.2554300081251269,0.5248580033130771,0.3572818056519283,0.2759852629362356,0.3822371939016146,0.7534682337190024,0.8830041273714669
ilr_ridge,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2495352308819614,0.2035159661986318,-0.0569176039594193,0.1925335531909939,0.4716890306706339,0.326458788552431,0.2626453548842908,0.3464429770513587,0.7648632501349787,0.8897807102487807
