axis,to_domain,from_domain,to_index,from_index,derivative_per_fraction,loss_change_per_1pp_linearization,pair_logratio_elasticity,finite_difference,finite_step,finite_delta_loss,min_convex_weight,witness_reconstruction_max_error,finite_endpoints_in_training_convex_hull,one_percentage_point_support_verified
Q_A_topsis_0_1,arxiv,uspto_backgrounds,0,16,0.12865173925599793,0.0012865173925599794,0.0024422712058503908,0.12865173925735718,0.0001,1.2865173925735718e-05,0.0019465428530231258,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,uspto_backgrounds,0,16,0.2505081594435552,0.002505081594435552,0.004755542895709823,0.25050815944283045,0.0001,2.5050815944283045e-05,0.0019465428530231258,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,arxiv,1,0,0.1532825034519495,0.001532825034519495,0.0033507898082194925,0.1532825034522567,0.0001,1.5328250345003624e-05,0.0019480843524036378,2.7755575615628914e-17,True,False
quality_score_soft_proxy_0_1,freelaw,arxiv,1,0,-0.024602239317502717,-0.0002460223931750272,-0.0005378104539524764,-0.024602239316884322,0.0001,-2.4602239316884322e-06,0.0019480843524036378,2.7755575615628914e-17,True,False
Q_A_topsis_0_1,freelaw,nih_exporter,1,2,2.4287518357243787,0.024287518357243788,0.0056524424124082566,2.4287518357235527,0.0001,0.00024287518357235527,0.0018785352766212114,6.938893903907228e-17,True,False
quality_score_soft_proxy_0_1,freelaw,nih_exporter,1,2,2.342659801058278,0.02342659801058278,0.005452080127155654,2.342659801057856,0.0001,0.0002342659801057856,0.0018785352766212114,6.938893903907228e-17,True,False
Q_A_topsis_0_1,freelaw,pubmed_central,1,3,0.21263205964621512,0.002126320596462151,0.00466202012065379,0.2126320596462783,0.0001,2.1263205964405785e-05,0.001948086392189467,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,pubmed_central,1,3,0.11607586294344441,0.001160758629434444,0.002544997257069188,0.11607586294370975,0.0001,1.1607586294370975e-05,0.001948086392189467,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,wikipedia_en,1,4,0.30646214451137355,0.0030646214451137354,0.0054324883377484595,0.30646214451479636,0.0001,3.0646214451479636e-05,0.0019475048487720538,8.326672684688674e-17,True,False
quality_score_soft_proxy_0_1,freelaw,wikipedia_en,1,4,0.4828993218919778,0.004828993218919778,0.008560094554802184,0.4828993218941591,0.0001,4.828993218941591e-05,0.0019475048487720538,8.326672684688674e-17,True,False
Q_A_topsis_0_1,freelaw,dm_mathematics,1,5,1.5550165737957913,0.015550165737957913,0.013141727989194598,1.5550165737954202,0.0001,0.00015550165737954202,0.001936711354143731,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,dm_mathematics,1,5,1.4479962150563503,0.014479962150563503,0.012237279465905448,1.44799621505598,0.0001,0.000144799621505598,0.001936711354143731,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,github,1,6,-0.06854740360916767,-0.0006854740360916767,-0.001484098975877119,-0.06854740360884293,0.0001,-6.854740360662248e-06,0.001948368371460411,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,github,1,6,0.22574445949432942,0.0022574445949432942,0.004887524596200182,0.22574445949441468,0.0001,2.257444594944147e-05,0.001948368371460411,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,philpapers,1,7,4.544618878743451,0.04544618878743451,0.009893544149485468,4.544618878741247,0.0001,0.00045446188787412467,0.0018738836460098019,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,freelaw,philpapers,1,7,4.457862457064448,0.04457862457064448,0.009704677159527905,4.457862457063477,0.0001,0.00044578624570634773,0.0018738836460098019,5.551115123125783e-17,True,False
Q_A_topsis_0_1,freelaw,stackexchange,1,8,0.4405704037190431,0.004405704037190431,0.009059635401465375,0.4405704037191427,0.0001,4.405704037191427e-05,0.0019482248959549597,8.326672684688674e-17,True,False
quality_score_soft_proxy_0_1,freelaw,stackexchange,1,8,0.5356682505215205,0.0053566825052152045,0.011015172614637497,0.535668250520871,0.0001,5.35668250520871e-05,0.0019482248959549597,8.326672684688674e-17,True,False
Q_A_topsis_0_1,freelaw,enron_emails,1,9,4.7419767663933285,0.047419767663933285,0.00429690006184417,4.741976766393652,0.0001,0.00047419767663914314,0.0017640868473737408,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,freelaw,enron_emails,1,9,4.7691719947088185,0.047691719947088186,0.004321542776051218,4.769171994709609,0.0001,0.0004769171994709609,0.0017640868473737408,4.163336342344337e-17,True,False
