check,comparisons,passed,max_absolute_error,max_tolerance_fraction
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,3.3999314474897346e-10,0.000129497826205997
quality_regular_Q_A_topsis_0_1,1,True,1.6241807898609295e-10,6.186238896311294e-05
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
quality_regular_Q_A_topsis_0_1,1,True,1.5156764732182637e-11,5.772963706613963e-06
quality_one_sided_Q_A_topsis_0_1,2,True,1.5156764732182637e-11,5.772963706613963e-06
