check,comparisons,max_absolute_error,tolerance,passed
lp_primal_quality_score_soft_proxy_0_1,18,3.7470027081099033e-16,2e-08,True
lp_dual_gap_quality_score_soft_proxy_0_1,1,1.3877787807814457e-17,2e-08,True
safe_witness_quality_score_soft_proxy_0_1,17,3.608224830031759e-16,2e-08,True
fixed_residual_quality_score_soft_proxy_0_1,51,5.638871145255791e-17,2e-10,True
path_quality_quality_score_soft_proxy_0_1,51,1.1102230246251565e-16,2e-10,True
path_gain_quality_score_soft_proxy_0_1,51,9.020562075079397e-17,2e-10,True
derivative_witness_quality_score_soft_proxy_0_1,17,7.216449660063518e-16,2e-08,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.0, 0.1)",51,0.0,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.0, 0.1)",51,0.0,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.0, 0.1)",51,2.220446049250313e-16,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.0, 0.1)",1,0.0,2e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.0, 1.0)",51,0.0,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.0, 1.0)",51,0.0,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.0, 1.0)",51,2.220446049250313e-16,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.0, 1.0)",1,0.0,2e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.0, 10.0)",51,0.0,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.0, 10.0)",51,0.0,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.0, 10.0)",51,2.220446049250313e-16,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.0, 10.0)",1,0.0,2e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.5, 0.1)",51,4.440892098500626e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.5, 0.1)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.5, 0.1)",51,2.162714451969805e-13,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.5, 0.1)",1,9.35415633840364e-12,2e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.5, 1.0)",51,4.440892098500626e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.5, 1.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.5, 1.0)",51,2.2382096176443156e-13,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.5, 1.0)",1,9.075566964611426e-10,5.6113824096960826e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(0.5, 10.0)",51,4.440892098500626e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(0.5, 10.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(0.5, 10.0)",51,2.071676163950542e-13,2e-10,True
"derivative_quality_score_soft_proxy_0_1(0.5, 10.0)",1,9.70549223211492e-08,0.00012275705142590705,True
"equal_loss_path_quality_score_soft_proxy_0_1(1.0, 0.1)",51,8.881784197001252e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(1.0, 0.1)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(1.0, 0.1)",51,2.162714451969805e-13,2e-10,True
"derivative_quality_score_soft_proxy_0_1(1.0, 0.1)",1,6.594980117569094e-11,2e-06,True
"equal_loss_path_quality_score_soft_proxy_0_1(1.0, 1.0)",51,8.881784197001252e-16,2e-10,True
"D_invariance_quality_score_soft_proxy_0_1(1.0, 1.0)",51,4.440892098500626e-16,2e-10,True
"brent_relative_quality_score_soft_proxy_0_1(1.0, 1.0)",51,2.498001805406602e-13,2e-10,True
