dataset,target,model,positive_fraction,negative_fraction,near_zero_fraction,sign_agreement_fraction,pair_count
A6_A7_validation_1m,metric/the_pile_ubuntu_irc_val_loss,ilr_ridge,0.7830882352941176,0.21691176470588236,0.0,,
A6_A7_validation_1m,metric/the_pile_ubuntu_irc_val_loss,quadratic_ridge,0.5514705882352942,0.4485294117647059,0.0,,
A6_A7_validation_1m,metric/the_pile_ubuntu_irc_val_loss,ridge_vs_quadratic,,,,0.6801470588235294,272.0
A6_A7_validation_1m,metric/the_pile_hackernews_val_loss,ilr_ridge,0.7022058823529411,0.2977941176470588,0.0,,
A6_A7_validation_1m,metric/the_pile_hackernews_val_loss,quadratic_ridge,0.5,0.5,0.0,,
A6_A7_validation_1m,metric/the_pile_hackernews_val_loss,ridge_vs_quadratic,,,,0.7022058823529411,272.0
A6_A7_validation_1m,metric/the_pile_pubmed_abstracts_val_loss,ilr_ridge,0.6911764705882353,0.3088235294117647,0.0,,
A6_A7_validation_1m,metric/the_pile_pubmed_abstracts_val_loss,quadratic_ridge,0.5441176470588235,0.45588235294117646,0.0,,
A6_A7_validation_1m,metric/the_pile_pubmed_abstracts_val_loss,ridge_vs_quadratic,,,,0.7279411764705882,272.0
A6_A7_validation_1m,metric/the_pile_uspto_backgrounds_val_loss,ilr_ridge,0.7279411764705882,0.27205882352941174,0.0,,
A6_A7_validation_1m,metric/the_pile_uspto_backgrounds_val_loss,quadratic_ridge,0.5514705882352942,0.4485294117647059,0.0,,
A6_A7_validation_1m,metric/the_pile_uspto_backgrounds_val_loss,ridge_vs_quadratic,,,,0.6985294117647058,272.0
