budget,context,axis,cost,scope,lambda_q,cost_coordinate,Q0,Q_star,Q_B_star,Q_upper,regime,predicted_loss,scale_loss,remaining_p,benefit_vs_same_recipe_no_processing,N_B,D_B,train_share,attention_share,quality_share,utilization,N_outside_B1,D_outside_B1,recipe
3.981071705534985e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8691923881244799,2.056818855733564,0.0,0.1873467789397283,9.396669737590997,657.7288647593891,0.9314769553783895,0.06358882682049806,0.00493421780111238,1.0,False,True,reference
3.981071705534985e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.8731168147132446,2.0607432823223286,0.0,0.1834223523509635,10.137636322480006,571.0985088388923,0.872567401215594,0.059567267922984536,0.06786533086142162,1.0,False,True,reference
5.011872336272714e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8564195764922504,2.0440460441013344,0.0,0.18738305867770122,10.420331938158858,747.0503515968868,0.9319286824389207,0.06361966472116365,0.004451652839915501,0.9999999999999998,False,True,reference
5.011872336272714e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.8598524385137412,2.047478906122825,0.0,0.18395019665621049,11.166668385134846,656.823513656895,0.8780587220647676,0.059942142092954814,0.061999135842277425,0.9999999999999998,False,True,reference
6.309573444801943e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8440937887550921,2.031720256364176,0.0,0.18741464024220122,11.55614446330865,848.4153693350517,0.9323366143875655,0.06364751287552448,0.004015872736910082,1.0000000000000002,False,True,reference
6.309573444801943e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.8470952481412117,2.0347217157502957,0.0,0.1844131808560816,12.307447550029789,754.5834576397754,0.883133835426478,0.060288603165114245,0.056577561408407466,0.9999999999999999,True,True,reference
7.94328234724279e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8321990567016602,2.019825524310744,0.0,0.18744213035954815,12.816395470305542,963.4454282581604,0.9327049259605312,0.06367265627890561,0.0036224177605628394,0.9999999999999998,True,True,reference
7.94328234724279e+22,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.834822186100525,2.022448653709609,0.0,0.18481900096068338,13.572282800067148,866.0008037421458,0.8878149333986856,0.060608166120016925,0.05157690048129747,1.0,True,True,reference
1.0000000000000001e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8207200236019598,2.008346491211044,0.0,0.18746605776215985,14.214719399093221,1093.980332359494,0.933037407157017,0.06369535366191902,0.0032672391810641497,1.0000000000000002,True,True,reference
1.0000000000000001e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.8230115900934891,2.010638057702573,0.0,0.18517449127063057,14.974829849569602,992.9155961504912,0.8921245264402542,0.06090236767165469,0.0469731058880911,1.0,True,True,reference
1.2589254117941714e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.8096419157305434,1.9972683833396274,0.0,0.18748688313793105,15.766244480587835,1242.107564291021,0.9333374962329302,0.06371583974283469,0.0029466640242350774,1.0,True,True,reference
1.2589254117941714e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.8116430873075786,1.9992695549166626,0.0,0.18548571156089588,16.53023835390346,1137.4149062268953,0.89608515315063,0.061172746455083006,0.042742100394287094,1.0000000000000002,True,True,reference
1.584893192461111e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7989505157860275,1.9865769833951115,0.0,0.18750500782671775,17.48775640614879,1410.1956259231408,0.9336083103315694,0.06373432731863514,0.0026573623497955948,1.0,True,True,reference
1.584893192461111e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.800697496571322,1.988323964180406,0.0,0.1857580270414232,18.25531531804061,1301.8662388627595,0.8997191282819295,0.06142082582404638,0.038860045894024205,1.0,True,True,reference
1.9952623149688827e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7886321380302916,1.9762586056393756,0.0,0.18752078141823558,19.397879928922208,1600.9318669952875,0.9338526738278268,0.06375100919997966,0.002396316972193616,1.0,True,True,reference
1.9952623149688827e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.790156738012807,1.977783205621891,0.0,0.18599618143572028,20.16870647538554,1488.9554289305993,0.9030483293070578,0.06164809928069514,0.03530357141224707,1.0000000000000002,True,True,reference
2.5118864315095718e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.778673604989746,1.96630007259883,0.0,0.18753450838741337,21.517280361759575,1817.3654060159402,0.9340731444814684,0.06376605999660158,0.0021607955219300735,1.0,True,True,reference
2.5118864315095718e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7800037498358574,1.9676302174449414,0.0,0.186204363541302,22.291097600816705,1701.7296296496236,0.9060940205467297,0.06185601846932342,0.03204996098394682,1.0,True,True,reference
3.162277660168379e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.769062225578064,1.9566886931871479,0.0,0.187546453886978,23.86888715167494,2062.955828897844,0.9342720375078792,0.0637796377605379,0.0019483247315826696,0.9999999999999998,True,True,reference
3.162277660168379e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7702224118121634,1.9578488794212474,0.0,0.18638626765287847,24.64543793607667,1943.646076476541,0.9088767128364862,0.06204598359630412,0.029077303567209632,0.9999999999999998,True,True,reference
3.9810717055349855e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7597857745149599,1.9474122421240438,0.0,0.18755684880259982,26.478141949645387,2341.628443088543,0.9344514476826326,0.06379188549513438,0.0017566668222330924,1.0,True,True,reference
3.9810717055349855e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7607974750774655,1.9484239426865495,0.0,0.18654514824009416,27.257188143700162,2218.6274028629146,0.9114160559809872,0.06221933608830208,0.02636460793071054,0.9999999999999998,True,True,reference
5.011872336272715e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.750832472929071,1.938458940538155,0.0,0.18756589416313973,29.373273859576404,2657.836969652846,0.9346132696003093,0.06380293253804778,0.0015837978616429324,1.0,True,True,reference
5.011872336272715e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_B,0.4816880916292793,1.0,1.0,1.0,quality_upper,1.7517144978157813,1.9393409654248652,0.0,0.18668386927642944,30.1545954701701,2531.1243893359856,0.9137307607703777,0.062377353268591125,0.023891885961031152,1.0,True,True,reference
6.309573444801942e+23,2048,quality_score_soft_proxy_0_1,power,unrestricted,1.0,Q_A,0.2214279307297116,0.4992687905775103,1.0,0.4992687905775103,map_saturation,1.7421909700450118,1.9298174376540957,0.0,0.1875737649871949,32.585604844299404,3016.634674553456,0.9347592162090722,0.06381289582653933,0.0014278879643884292,1.0,True,True,reference
