task,branch,axis,fold,n_calibration_groups,n_calibration_rows,repetition,calibration_groups,model,intercept,slope,n,mae,rmse,r2,signed_error,spearman
B2,scale,none,0,2,294,8,cerebras_0.59B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,8,cerebras_0.59B;cerebras_6.7B,offset,1.179096513000404,1.0,147,0.2653342713238663,0.394942143621484,0.2689039723813229,-3.4236123881702364e-05,0.9973233092669779
B2,scale,none,0,2,294,8,cerebras_0.59B;cerebras_6.7B,affine,-1.9581560238559756,2.430196336291038,147,0.6697024743193813,0.7005372946089817,-1.300223244158174,0.6334276177320171,0.9973233092669779
B2,scale,none,0,2,294,8,cerebras_0.59B;cerebras_6.7B,mean,3.372678231292517,0.0,147,0.44295374149659844,0.6399671565461198,-0.9196534721481722,-0.44295374149659844,
B2,scale,none,0,2,294,9,cerebras_1.3B;cerebras_13.0B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,9,cerebras_1.3B;cerebras_13.0B,offset,1.1774925741467683,1.0,147,0.26477780274199264,0.39494553960448486,0.2688913993986912,-0.0016381749775174635,0.9973233092669779
B2,scale,none,0,2,294,9,cerebras_1.3B;cerebras_13.0B,affine,-3.4470006648394236,3.1762332159916333,147,1.1158860428769986,1.1391201206296788,-5.0820013483724,1.1115101229782798,0.9973233092669779
B2,scale,none,0,2,294,9,cerebras_1.3B;cerebras_13.0B,mean,3.3024914965986394,0.0,147,0.5131404761904763,0.6904079175798024,-1.234184283970054,-0.5131404761904763,
B2,scale,none,0,2,294,10,cerebras_1.3B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,10,cerebras_1.3B;cerebras_2.7B,offset,1.1781138463024288,1.0,147,0.26499334614293607,0.394943451303563,0.2688991309493738,-0.0010169028218570406,0.9973233092669779
B2,scale,none,0,2,294,10,cerebras_1.3B;cerebras_2.7B,affine,-8.861698099488539,5.611199019983211,147,2.1166030101349746,2.1183787372969105,-20.03365195741562,2.1166030101349746,0.9973233092669779
B2,scale,none,0,2,294,10,cerebras_1.3B;cerebras_2.7B,mean,3.355380952380952,0.0,147,0.4602510204081635,0.652059005105095,-0.992880511078881,-0.4602510204081635,
B2,scale,none,0,2,294,11,cerebras_1.3B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,11,cerebras_1.3B;cerebras_6.7B,offset,1.1780118785166533,1.0,147,0.2649579695641976,0.39494372701393465,0.26889811018469445,-0.001118870607632463,0.9973233092669779
B2,scale,none,0,2,294,11,cerebras_1.3B;cerebras_6.7B,affine,-4.973146038342689,3.8694071379683748,147,1.4129186429792426,1.4274148424073354,-8.550099197420788,1.4129186429792426,0.9973233092669779
B2,scale,none,0,2,294,11,cerebras_1.3B;cerebras_6.7B,mean,3.321715306122449,0.0,147,0.4939166666666668,0.6762422775625623,-1.1434438117721943,-0.4939166666666668,
B2,scale,none,0,2,294,12,cerebras_13.0B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,12,cerebras_13.0B;cerebras_2.7B,offset,1.1774194211922784,1.0,147,0.26475242314553693,0.3949458498066686,0.268890250928582,-0.001711327932007437,0.9973233092669779
B2,scale,none,0,2,294,12,cerebras_13.0B;cerebras_2.7B,affine,-6.4826274655331115,4.666180167184495,147,2.004130282300255,2.0097112192522344,-17.931053378324986,2.004130282300255,0.9973233092669779
B2,scale,none,0,2,294,12,cerebras_13.0B;cerebras_2.7B,mean,3.2668003401360544,0.0,147,0.5488316326530613,0.7173326322930773,-1.4118408229055435,-0.5488316326530613,
B2,scale,none,0,2,294,13,cerebras_13.0B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,13,cerebras_13.0B;cerebras_6.7B,offset,1.1773174534065025,1.0,147,0.26471704656679834,0.39494630480304643,0.2688885663812982,-0.0018132957177832943,0.9973233092669779
B2,scale,none,0,2,294,13,cerebras_13.0B;cerebras_6.7B,affine,-10.087296522467835,6.479384915214195,147,3.1799777623007137,3.180121161639617,-46.401796299641255,3.1799777623007137,0.9973233092669779
B2,scale,none,0,2,294,13,cerebras_13.0B;cerebras_6.7B,mean,3.233134693877551,0.0,147,0.5824972789115646,0.7434063655170484,-1.5903593552372564,-0.5824972789115646,
B2,scale,none,0,2,294,14,cerebras_2.7B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,2,294,14,cerebras_2.7B;cerebras_6.7B,offset,1.1779387255621632,1.0,147,0.2649325899677419,0.3949439410301079,0.26889731783044046,-0.0011920235621226296,0.9973233092669779
B2,scale,none,0,2,294,14,cerebras_2.7B;cerebras_6.7B,affine,-8.781453710049448,5.724378017021969,147,2.495243963759911,2.4965011057188073,-28.212652432547983,2.495243963759911,0.9973233092669779
B2,scale,none,0,2,294,14,cerebras_2.7B;cerebras_6.7B,mean,3.2860241496598643,0.0,147,0.5296078231292514,0.7027335132691443,-1.3146684765808283,-0.5296078231292514,
B2,scale,none,0,4,588,0,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_13.0B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,0,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_13.0B,offset,1.1785211217995823,1.0,147,0.2651346458052138,0.394942612643528,0.2689022359226424,-0.0006096273247034689,0.9973233092669779
B2,scale,none,0,4,588,0,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_13.0B,affine,-1.019711216078075,1.9754417799195878,147,0.4566229783083245,0.49772073805060746,-0.16112490133605406,0.372911481169432,0.9973233092669779
B2,scale,none,0,4,588,0,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_13.0B,mean,3.4320972789115642,0.0,147,0.3835754731824707,0.6003738883059768,-0.6894722276802117,-0.38353469387755146,
B2,scale,none,0,4,588,1,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_2.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,1,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_2.7B,offset,1.1788317578774128,1.0,147,0.2652424175056856,0.3949422553133387,0.26890355886514505,-0.0002989912468729916,0.9973233092669779
B2,scale,none,0,4,588,1,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_2.7B,affine,-2.177916991739784,2.472445347473268,147,0.5713165435307185,0.6029277740213885,-0.7038762385932886,0.5250562195287868,0.9973233092669779
B2,scale,none,0,4,588,1,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_2.7B,mean,3.458542006802721,0.0,147,0.3581775313526772,0.5838348980320163,-0.5976717931449256,-0.35708996598639464,
B2,scale,none,0,4,588,2,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_6.7B,raw,0.0,1.0,147,1.1791307491242855,1.2435146236239525,-6.247851054585563,-1.1791307491242855,0.9973233092669779
B2,scale,none,0,4,588,2,cerebras_0.256B;cerebras_0.59B;cerebras_1.3B;cerebras_6.7B,offset,1.1787807739845249,1.0,147,0.26522472921631635,0.39494229720152685,0.26890340378269195,-0.00034997513976093236,0.9973233092669779
