task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A1B,connection,Q_A_topsis_0_1,raw,3,13,3.1374248738638784,3.1398081702430023,-3495.97386176816,3.1374248738638784,0.13736263736263735
A1B,connection,Q_A_topsis_0_1,raw,4,12,3.051730173751002,3.0652705820287363,-1445.1340466645008,3.051730173751002,0.22377622377622378
A1B,connection,Q_A_topsis_0_1,selected,0,13,0.04833104002682752,0.058900508666677905,-1.822452246405104,0.02424779231880186,-0.23076923076923078
A1B,connection,Q_A_topsis_0_1,selected,1,13,0.05018875458231035,0.056649915519356664,-1.4227151864236012,-0.0013867227560334565,-0.20329670329670327
A1B,connection,Q_A_topsis_0_1,selected,2,13,0.046981376215386256,0.057776698365362304,-0.8951749662644437,-0.01873459289190495,-0.17032967032967034
A1B,connection,Q_A_topsis_0_1,selected,3,13,0.04757880408815369,0.05578802914933495,-0.10399776461247612,0.01015902196218709,0.12637362637362637
A1B,connection,Q_A_topsis_0_1,selected,4,12,0.08475335423725998,0.12124359533034326,-1.2624996943319027,-0.0462375060493716,0.034965034965034975
A1B,connection,quality_score_soft_proxy_0_1,affine,0,13,0.0316169043954416,0.04603087712790519,-0.7238005425658283,0.006031314287103129,0.13736263736263735
A1B,connection,quality_score_soft_proxy_0_1,affine,1,13,0.03429885996487462,0.04830655352204371,-0.7616350209187464,-0.010292723267498971,0.16483516483516483
A1B,connection,quality_score_soft_proxy_0_1,affine,2,13,0.03281787839881942,0.04573106243172071,-0.18731636042645605,0.020186040005136692,0.47802197802197804
A1B,connection,quality_score_soft_proxy_0_1,affine,3,13,0.04493262124186488,0.060439836976175075,-0.2957843316046569,0.004831386207761716,0.10989010989010989
A1B,connection,quality_score_soft_proxy_0_1,affine,4,12,0.06360385286674253,0.10180454044569417,-0.5951635308812886,-0.04736838606707805,0.3846153846153847
A1B,connection,quality_score_soft_proxy_0_1,mean,0,13,0.03166668522967335,0.04632345533211469,-0.7457835828375894,0.0058750572587072175,0.13736263736263735
A1B,connection,quality_score_soft_proxy_0_1,mean,1,13,0.03441388064020613,0.04841686248065698,-0.7696896628626275,-0.010413339923957996,0.16483516483516483
A1B,connection,quality_score_soft_proxy_0_1,mean,2,13,0.032401682610794166,0.0443434858967973,-0.11635810818290082,0.016883557465486507,0.42857142857142855
A1B,connection,quality_score_soft_proxy_0_1,mean,3,13,0.04504234291580177,0.060821332113711234,-0.31219389075141435,0.005363404948640882,0.13186813186813187
A1B,connection,quality_score_soft_proxy_0_1,mean,4,12,0.049074487256762854,0.06742289781316972,0.30034209500277764,-0.018815472233181252,0.5664335664335665
A1B,connection,quality_score_soft_proxy_0_1,offset,0,13,0.08538256732610824,0.10615799953865973,-8.16840868736748,0.041501100959410536,0.4175824175824176
A1B,connection,quality_score_soft_proxy_0_1,offset,1,13,0.07283331015800404,0.08220701126490398,-4.101777885187256,0.07191487246000516,0.6648351648351648
A1B,connection,quality_score_soft_proxy_0_1,offset,2,13,0.10313269939021542,0.12022708054129769,-7.206320464525811,0.09951798002703396,0.4945054945054945
